Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
11,10,11,2020,aminuddin.maruf,Selamat Hari Pahlawan  Komitmen kebangsaan dan gotong royong menjadi pelajaran berharga dari para pahlawan kita Mari kirimkan doa untuk setiap pejuang yang telah mengabdikan diri untuk bangsa dan negara Alfatihah  haripahlawan,https://www.instagram.com/p/CHZbfJ4lxaq,304,6
12,7,11,2020,aminuddin.maruf,Akhir pekan masih kebagian tugas sharing session bareng adikadik mahasiswa di acara Paramadina Leaders Camp Berbagi pengetahuan bacaan dan pengalaman tentang kepemimpinan dan strategi tata kelola organisasi Saya menitikberatkan pada pentingnya membangun kebersamaan solidaritas upgrading soft dan hard skill serta tanggap membaca perubahan zaman   Thanks a lot temanteman semaparamadina aziemah____ sptmbr11  Acaranya keren  Salam Hormat Salam Takzim dan mari kita bacakan AlFatihah untuk Almarhum Prof Dr Nurcholis Madjid,https://www.instagram.com/p/CHRvLhoF-k9,807,39
22,6,11,2020,aminuddin.maruf,  Pemerintah berkomitmen untuk terus memfasilitasi setiap ikhtiar elemen masyarakat termasuk mahasiswa dalam menyampaikan pendapat demi terjaganya iklim demokrasi yang sehat di republik ini  Apa yang menjadi catatan dan rekomendasi temanteman akan kami pelajari dan sesegera mungkin akan saya sampaikan kepada Bapak Presiden _________ httpsmediaindonesiacomreaddetail358954presidenserapaspirasimahasiswaterkaituuciptaker,https://www.instagram.com/p/CHQRgZGnfx8,543,13
18,6,11,2020,aminuddin.maruf,Hari ini saya bertemu dengan perwakilan Dewan Eksekutif Mahasiswa perguruan tinggi keagamaan Islam Negeri Seluruh Indonesia PTKIN SI Ada dari Banten Samarinda Surabaya Malang Papua Metro Yogyakarta Semarang dan Makassar  Saya bangga semakin banyak Mahasiswa yang berani kritis dan terbuka dalam menyampaikan pendapat dan menyatakan sikap InsyaAllah rekomendasi para ketua DEMA PTKIN ini akan saya sampaikan pada Presiden Republik Indonesia  Salam hangat selalu untuk para agen perubahan dan perjuangan  ___________ httpsnewsdetikcomberitad5244482bemuiniainserikritikisiuuciptakerjastafsusjokowiakantelaah,https://www.instagram.com/p/CHP1lMoFT-i,1530,42
19,5,11,2020,aminuddin.maruf,Siang tadi saya menerima perwakilan dari Presidium Nasional Presnas BEM Perguruan Tinggi Muhammadiyah PTM seIndonesia Kami berdiskusi juga mendengarkan masukan dan kritik dari Presnas BEM PTM seIndonesia terkait omnibus law UU Cipta Kerja  Saya mengapresiasi pemerintah juga mengapresiasi atas langkah dari BEM Perguruan Tinggi Muhammadiyah yang telah membuka ruang dialog yang konstruktif ini  Pada intinya tadi kami menerima masukan dari Presnas BEM Muhammadiyah tentang UU Cipta Kerja untuk jadi catatan kita untuk ke depannya Kita bersama temanteman mahasiswa akan mengawal UU Cipta Kerja untuk menutupi kekurangannya dalam bentuk aturanaturan teknis turunannya agar aspirasi temanteman mahasiswa mampu diakomodasi  Tetap kritis tetap idealis Hidup Mahasiswa  _________ httpsnewsdetikcomberitad5242785stafsusjokowitemuibemptmuhammadiyahseriterimakritiksoalomnibuslaw,https://www.instagram.com/p/CHNYGu0na8N,426,7
17,29,10,2020,aminuddin.maruf,Shollu ala AlNaby Muhammad,https://www.instagram.com/p/CG7LEUhF-c9,469,3
11,28,10,2020,aminuddin.maruf,"Mari merefleksikan semangat sumpah pemuda dengan memaknai tumpah darah yang satu sebagai komitmen kebangsaan dan dedikasi kemudian memaknai bangsa yang satu sebagai  langkah bersama dalam Kerjasama dan kolaborasi dan yang terakhir memaknai bahasa yang  satu sebagai kesamaan visi  Merdeka",https://www.instagram.com/p/CG3-A8PlcLi,759,4
20,26,10,2020,aminuddin.maruf,Assalamualaikum Wr Wb   InsyaAllah tanggal 31 Oktober nanti akan bersilaturahmi dengan para kyai dan santri diaspora santridiaspora adalah mereka para santri yang berkesempatan berdialektika di negera lain baik untuk belajar berdakwah maupun bekerja  InsyaAllah akan hadir gus Ghofur Ustadz Shamsi Ali juga Gus Oding yang selain menimba ilmu juga aktif berdakwah di Luar negeri Ada juga Intelektual Muslim keren Sumanto AlQurtubi yang menjadi  Profesor di Saudi Arabia Selanjutnya akan hadir juga sahabati Ulfah dan Brother Anam yang keduanya adalah santri kandidat PhD di Eropa dan Australia  Ibu Menteri retno_marsudi juga akan hadir mewakili pemerintah sebagai bentuk dukungan terhadap diaspora santri ini  Sebagaimana yang disampaikan presiden bahwa Sejarah mencatat peran besar para ulama para kiai para santri dalam menjaga NKRI memandu ke jalan kebaikan ke jalan kebenaran ke jalan kemajuan Saya berharap silaturahmi ini bisa menjadi sebuah upaya tambahan untuk meningkatkan kolaborasi dan kontribusi santri untuk peradaban dunia dan peningkatan kualitas kehidupan berbangsa dan bernegara  Santri Sehat Indonesia Kuat  Yang mau ikut boleh mendaftar di Ratu Syaila 081218151624,https://www.instagram.com/p/CGzsivlFGf4,750,7
12,22,10,2020,aminuddin.maruf,Sebagai seorang santri dalam rangka mengenang seruan KH Hasyim Asyari dan para pejuang terdahulu perjuangan kita hari ini adalah untuk memulihkan Indonesia dari dampak wabah Pulih dan sehat raga dan jiwa  العقل السليم  في الجسم السليم Men Sana in Corpore Sano  SantriSehat IndonesiaKuat,https://www.instagram.com/p/CGojseRlFI8,1131,8
0,22,10,2020,aminuddin.maruf,Selamat ulang tahun istriku Alloh jaga Alloh sayang panjang umur dalam pergerakan bersamaku   Maafkeun karena masih dalam masa isolasi aku tak bisa bersamamu heuheuheu  I love you,https://www.instagram.com/p/CGnTcZElNqE,1798,26
