Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
12,9,10,2020,aminuddin.maruf,Hari lebaran makan ketupat Belanjanya pergi ke pasar Silahkan sampaikan pendapat Tapi jangan main bakar  Buruh Mahasiswa parlemen jalanan Catatan sejarah dari dulu UU ciptaker itu untuk kesejahteraan Tapi digoreng banyak isu  Pacaran suka curi2 pandang Beli hadiah suka boneka Kalo berbeda pendapat soal undang2 Kuy kita pergi ke MK  Jangan lupa ya follow vinaseptianaaaa sang pemilik foto di atas,https://www.instagram.com/p/CGHFnBrFHh2,2848,141
0,17,4,2020,aminuddin.maruf,Di rumah ini aku dibesarkan  Selamat harlah PMII ke 60th Ilmu dan bakti kuberikan adil dan makmur kuperjuangkan Salam Pergerakan,https://www.instagram.com/p/B_DKphSFFwl,2657,82
22,28,4,2020,aminuddin.maruf,Ini utk kalian mahasiswa kece Jadikan Ramadhan mu lebih produktif ya,https://www.instagram.com/p/B_h3qOtlL2_,1207,57
21,20,5,2020,aminuddin.maruf,Segera diumumkan pemenang lomba ramadhanproduktifditengahcovid,https://www.instagram.com/p/CAaezAol0Ub,1295,57
16,26,3,2020,aminuddin.maruf,Semoga Alloh selalu memberikan kekuatan kesabaran kesehatan untukmu Pa Di tengah begitu banyak terpaan masalah kepada Bangsa yg sedang kau pimpin kepergian Ibunda pasti sangat memukul siapapun Doa kami selalu menyertai semoga kuat memimpin negeri ini dan semoga Almarhumah diterima di tempat yg terbaik di sisiNya Alfatiha,https://www.instagram.com/p/B-MQLZAl4pj,2684,48
16,10,1,2020,aminuddin.maruf,Jika kalian pernah bermain seperti ini bersukurlah karena sekarang permainan ini menjadi barang mewah,https://www.instagram.com/p/B7IjfK4FL5T,662,47
18,6,11,2020,aminuddin.maruf,Hari ini saya bertemu dengan perwakilan Dewan Eksekutif Mahasiswa perguruan tinggi keagamaan Islam Negeri Seluruh Indonesia PTKIN SI Ada dari Banten Samarinda Surabaya Malang Papua Metro Yogyakarta Semarang dan Makassar  Saya bangga semakin banyak Mahasiswa yang berani kritis dan terbuka dalam menyampaikan pendapat dan menyatakan sikap InsyaAllah rekomendasi para ketua DEMA PTKIN ini akan saya sampaikan pada Presiden Republik Indonesia  Salam hangat selalu untuk para agen perubahan dan perjuangan  ___________ httpsnewsdetikcomberitad5244482bemuiniainserikritikisiuuciptakerjastafsusjokowiakantelaah,https://www.instagram.com/p/CHP1lMoFT-i,1530,42
22,28,4,2020,aminuddin.maruf,Ini juga utk kamu para santri Jadikan Ramadhan kita lebih produktif ya,https://www.instagram.com/p/B_h3VNqlJkL,1081,40
12,7,11,2020,aminuddin.maruf,Akhir pekan masih kebagian tugas sharing session bareng adikadik mahasiswa di acara Paramadina Leaders Camp Berbagi pengetahuan bacaan dan pengalaman tentang kepemimpinan dan strategi tata kelola organisasi Saya menitikberatkan pada pentingnya membangun kebersamaan solidaritas upgrading soft dan hard skill serta tanggap membaca perubahan zaman   Thanks a lot temanteman semaparamadina aziemah____ sptmbr11  Acaranya keren  Salam Hormat Salam Takzim dan mari kita bacakan AlFatihah untuk Almarhum Prof Dr Nurcholis Madjid,https://www.instagram.com/p/CHRvLhoF-k9,807,39
20,16,10,2020,aminuddin.maruf,Kritik konstruktif seperti vitamin yg dibutuhkan untuk menjaga tubuh demokrasi tetap sehat Saya yg dididik dan dibesarkan di ruang aktifitas gerakan mahasiswa sangat memahami apa yg menjadi tuntutan dan keresahan temanteman  Terimakasih sudah menyampaikan gagasan dan sikapnya dengan penuh damai dalam suasana keakraban  Insya Alloh akan saya sampaikan kepada Bapak Presiden apa yg menjadi sikap dan tuntutan temanteman BEM SI  Jangan lupa jaga kesehatan Hidup Mahasiswa,https://www.instagram.com/p/CGaCrOIHutm,1103,39
17,7,1,2020,aminuddin.maruf,Pose sore ini ,https://www.instagram.com/p/B7A7WaJFCwg,2698,36
22,10,10,2020,aminuddin.maruf,,https://www.instagram.com/p/CGKuS9MH39k,923,34
19,2,1,2020,aminuddin.maruf,Halo Karawang besok Insya Alloh saya di karawang menghadiri beberapa kegiatan  kuliah umum di Unsika silaturahim dg beberapa tokoh masyarakat di Karawang acara di almamater SMAN 1 Rengasdengklok dan Ponpes Manbaul Ulum Ngobrol dengan petani muda kreatif dan hadir di acara Gusdurian Karawang  Sampe ketemu besok dan hari sabtu ya,https://www.instagram.com/p/B60RbKll_tL,1310,33
22,28,4,2020,aminuddin.maruf,Untuk para santri ikutan yuuuk Biar Ramadhan kita lebih produktif,https://www.instagram.com/p/B_h21-klj0Y,839,31
21,21,5,2020,aminuddin.maruf,,https://www.instagram.com/p/CAc-hwAFDFW,892,30
