Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
12,9,10,2020,aminuddin.maruf,Hari lebaran makan ketupat Belanjanya pergi ke pasar Silahkan sampaikan pendapat Tapi jangan main bakar  Buruh Mahasiswa parlemen jalanan Catatan sejarah dari dulu UU ciptaker itu untuk kesejahteraan Tapi digoreng banyak isu  Pacaran suka curi2 pandang Beli hadiah suka boneka Kalo berbeda pendapat soal undang2 Kuy kita pergi ke MK  Jangan lupa ya follow vinaseptianaaaa sang pemilik foto di atas,https://www.instagram.com/p/CGHFnBrFHh2,2848,141
20,1,2,2020,aminuddin.maruf,Dari jatim langsung ke bogor Main dulu sama Andara Kalo mau jadi orang tersohor Jangan lupa sama keluarga  Malam ini jalan ke bogor Malam minggu malam yang panjang Datang diundang acara ansor Ayo semua sahabat kita berjuang,https://www.instagram.com/p/B8Bqew8Fz4j,2749,23
23,24,5,2020,aminuddin.maruf,Lebaran tahun ini tanpa mudik tanpa baju baru  alhamdulillah masih dengan orang2 tersayang Mohon maaf lahir batin ,https://www.instagram.com/p/CAk_JsXFSuy,2722,23
17,7,1,2020,aminuddin.maruf,Pose sore ini ,https://www.instagram.com/p/B7A7WaJFCwg,2698,36
16,26,3,2020,aminuddin.maruf,Semoga Alloh selalu memberikan kekuatan kesabaran kesehatan untukmu Pa Di tengah begitu banyak terpaan masalah kepada Bangsa yg sedang kau pimpin kepergian Ibunda pasti sangat memukul siapapun Doa kami selalu menyertai semoga kuat memimpin negeri ini dan semoga Almarhumah diterima di tempat yg terbaik di sisiNya Alfatiha,https://www.instagram.com/p/B-MQLZAl4pj,2684,48
0,17,4,2020,aminuddin.maruf,Di rumah ini aku dibesarkan  Selamat harlah PMII ke 60th Ilmu dan bakti kuberikan adil dan makmur kuperjuangkan Salam Pergerakan,https://www.instagram.com/p/B_DKphSFFwl,2657,82
18,15,5,2020,aminuddin.maruf,Berbagi ada kenikmatan dirasa Semampunya seikhlasnya,https://www.instagram.com/p/CANSuUDlb6m,2606,20
0,24,1,2020,aminuddin.maruf,4 tahun yg lalu waktu akad nikah kami beliau yg menyampaikan pesan2 pernikahan  Nama Andara Izza Nahdliyah juga beliau yg memberikan karena lahir bertepatan dengan harlah NU Alhamdulillah malam ini kami bisa silaturahim Bercerita banyak hal dr urusan keluarga smp hal yg berkaitan dengan kebangsaan,https://www.instagram.com/p/B7q9aJQFZRm,2390,9
11,21,6,2020,aminuddin.maruf,Selamat ultah Presiden jokowi ke 59th semoga Alloh selalu memberikan kekuatan utk istiqomah memperjuangkan cita2 bangsa Berkah selalu panjang umur dalam sehat,https://www.instagram.com/p/CBrzwDxlMke,2357,14
13,17,1,2020,aminuddin.maruf,Karena mendadak dipanggil Presiden mohon maaf untuk beberapa agenda di Tasik harus dijadwalkan ulang  Saya bersama temen2 Staf Khusus yg lain baru saja memaparkan apa saja yg sudah sedang dan akan kami kerjakan selain tentunya laporan apa yg sudah ditugaskan Presiden kepada kami,https://www.instagram.com/p/B7aP0eEF_Pp,2195,22
18,3,3,2020,aminuddin.maruf,Aku dan Andara maminya kemana Nanti ya di postingan selanjutnya ,https://www.instagram.com/p/B9RR7SIlXX4,2076,23
19,15,1,2020,aminuddin.maruf,Hari ke2 di Tegal Alhamdulillah bisa silaturahim dg Abah Habib Lutfi Berkah berkah,https://www.instagram.com/p/B7V07uElcAK,1873,9
15,30,7,2020,aminuddin.maruf,Terimakasih Bang ardibakrie atas waktu dan diskusi siang ini Banyak hal yg akan kami kerjakan bersama utk akses informasi terutama dalam bidang pendidikan dan pemerataan pembangunan yg berpihak kepada anak muda,https://www.instagram.com/p/CDQpfMSlMBm,1862,14
7,28,2,2020,aminuddin.maruf,Keunggulan yg menjadi daya saing santri salah satunya adalah kemampuan kerjasama tim yg sangat bagus karena dididik sejak dini di pondok pesantren dengan kebersamaan Sangat compatible dengan tantangan hari ini di semua sektor dan spesialisasi peran yg mengharuskan berkolaborasi  Apakah cukup dengan kemampuan kolaboratif yg dimiliki santri untuk menjawab tantangan masa depan Tidak akan cukup Santri harus punya kemampuan adaptif inovatif kreatif untuk berdaya saing dan masuk dalam kategori sumberdaya manusia unggul  Kemarin saya berkunjung ke ponpes nurul qadim di paiton probolinggo Bersama dengan pimpinan ponpes Kyai elhadi7565 saya menyampaikan kepada santriwati mengenai visi presiden jokowi dalam bidang sumberdaya manusia  Santri yg hari ini sedang berproses di ponpes mereka masuk dalam kategori generasi z dengan segala karakteristiknya Generasi yg haus akan pembaharuan dan penuh dengan kreatifitas juga generasi yg menginginkan segalanya serba cepat dan mudah Mereka ada di jaman yg berbeda dunia yg sudah sangat terbuka dengan arus informasi dan kemajuan teknologi utk mempersiapkan mereka menjadi generasi emas indonesia 2045 tidak ada kata lain selain pendidikan  Semangat taswirul afkar harus menjadi spirit ponpes sebagai khidmat kepada bangsa dalam mempersiapkan sumberdaya manusia unggul Ya spirit taswirul afkar untuk penciptaan sumberdaya manusia berkualitas akan mendorong kita mewujudkan kemandirian ekonomi umat dan ponpes dalam tahapan selanjutnya,https://www.instagram.com/p/B9F0ThklU6w,1827,29
18,7,2,2020,aminuddin.maruf,Ngebolang bersama si rempong Taufan  billymambrasar putri_tanjung ke banjarmasin Sebelum besok nemenin Pabos Presiden malem ini kita ngopi santuy dulu sama anak2 muda keren,https://www.instagram.com/p/B8Q5kMAlcN9,1821,19
