Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
19,12,11,2020,angkie.yudistia,Besok di Magelang 1311 Kita bertemu secara online yaaah  Ini linknya  httpswwwyoutubecomwatchv3eyLgyC9jAgfeatureyoutube  AYkunjungankerja stafkhsuspresiden,https://www.instagram.com/p/CHfcE0DDxt4,125,2
15,12,11,2020,angkie.yudistia,Hi team Yogyakarta Weve been finished strong   Terima kasih untuk semuanya Lalu selanjutnya mari kita lanjut ke magelang hari ini   Psssst coba di zoom jaketnya Semua team ku punya ini   womanwithdisability AYkunjungankerja,https://www.instagram.com/p/CHe-lvDDSpw,677,5
12,12,11,2020,angkie.yudistia,Di selasela kunjungan kerja di Yogyakarta menyempatkan mengunjungi Posko Utama Penanggulangan Bencana Gunung Merapi di Kecamatan Pakem Kabupaten Sleman Yogyakarta Selasa 1011 Kunjungan ini untuk mengetahui langsung kondisi salashsatu gunung teraktif di Indonesia yang statusnya sudah dalam siaga level III  Saya mengapresiasi kesiap siagaan tim reaksi cepat TRC BPBD Sleman yang melakukan pantauan selama 24 jam tanpa henti untuk memastikan setiap langkah mitigasi dan evakuasi bisa dilakukan secara terukur  Kepala Bidang Kedaruratan dan Logistik BPBD Sleman Bapak Makwan menyebut telah mengungsikan 185 orang sejak Gunung Merapi mengalami peningkatan status menjadi siaga level IIII Meraka berasal dari kelompok rentan yang terdiri dari warga lanjut usia lansia ibu mengandung dan menyusui serta anakanak yang berada pada radius lima kilometer dari puncak gunung Ini dilakukan sebagai langkah antisipasi jika aktifitas merapi mengalami peningkatan dan erupsi yang bisa terjadi sewaktuwaktu  Kondisi Gunung Merapi saat ini tidak menunjukkan indkasi seperti letusan tahun 2010 Namun Tim di lapangan telah menyiapkan semua langkah antipasi terhadap semua kemungkinan yang ada   Berharap semua skenario yang disusun merupakan langkah terbaik untuk mengantisipasi timbulnya korban dari erupsi Gunung Merapi yang bisa terjadi sewaktuwaktu mengingat kondisinya kini berada di siaga level III  stafkhususpresiden AYkunjungankerja,https://www.instagram.com/p/CHeohBkDAkY,299,0
21,11,11,2020,angkie.yudistia,Repost humasjogja with make_repost  Pentingnya peran lingkungan sangat besar dalam menumbuhkan kesehatan mental para penyandang disabilitas Lingkungan sekitar yang baik dapat menjadi faktor penentu keberhasilan dalam pertumbuhan kesehatan mental karena dapat memfasilitasi penyandang disabilitas untuk berbaur dan bermasyarakat  Hal ini disampaikan Penasehat Dharma Wanita Persatuan DWP DIY GKBRAy A Paku Alam Gusti Putri dalam acara lokakarya kedua di Yogyakarta yang bertemakan Peran Lingkungan Dalam Mendukung Kesehatan Mental di Gedhong Pracimasana Kompleks Kepatihan Yogyakarta Senin 0911 Kegiatan yang berkolaborasi dengan Staf Khusus Presiden ini digelar untuk memperingati Hari Disabilitas Internasional 2020    Gusti Putri pada sambutannya turut mengapresiasi lokakarya tersebut Lokakarya ini memiliki tema yang bagus dan selaras dengan kondisi saat ini dimana kita masih memerlukan langkah komprehensif untuk membangun kesadaran komunal dalam mewujudkan lingkungan yang kondusif bagi para penyandang disabilitas ungkap beliau  Sementara itu Staf Khusus Presiden Angkie Yudistia dalam keynote speech yang diutarakan menyampaikan bahwa dalam Peraturan Pemerintah Nomor 70 tahun 2019 tentang perencanaan penyelengaraan dan evaluasi terhadap penghormatan perlindungan dan pemenuhan hak penyandang disabilitas terdapat tujuh rencana induk penyandang disabilitas Salah satunya adalah sasaran strategis terwujudnya akses pemerataan layanan kesehatan bagi penyandang disabilitas  Lokasi lokakarya rangkaian Hari Disabilitas tahun ini dilaksanakan di Yogyakarta dengan pertimbangan bahwa banyak indikator Yogyakarta adalah kota yang ramah terhadap penyandang disabilitas ujar Angkie  ___ Informasi selengkapnya dapat disimak melalui jogjaprovgoid  IndonesiaMajuIndonesiaInklusi StafKhususPresiden Lokakarya PemdaDIY JogjaIstimewa,https://www.instagram.com/p/CHdB8F6AJv4,728,2
13,11,11,2020,angkie.yudistia,Hai kamu yang disana  Coba kesini kita ngobrol Ada yang ingin kamu sampaikan Aku siap mendengarkan dengan mata    angkieyudistia womanwithdisability hardofhearinglyfe AYkunjungankerja,https://www.instagram.com/p/CHcI0MQDlE3,822,14
8,11,11,2020,angkie.yudistia,Selamat Pagi   Lokakarya II hari ini 1111 masih di Yogyakarta Untuk live streaming nya bisa akses di link ini  httpsyoutubed3xgCkj0wwk  youtube channel stafsusangkieyudistia  See you ya   indonesiamajuindonesiainklusi,https://www.instagram.com/p/CHbn6Tkjzm5,211,2
7,11,11,2020,angkie.yudistia,  Assalamualaikum WrWb  rekanrekan media terimakasih telah hadir dalam acara lokakarya pertama 911 yang mengangkat tema membangun karakter anak disabilitas melalui pendidikan inklusi   Kami mengangkat tema ini dengan mengacu pada Peraturan Pemerintah PP yang telah di sahkan oleh Bapak Presiden RI yaitu PP No 132020 tentang akomodasi yang layak untuk peserta didik penyandang disabilitas   PP ini bertujuan untuk menjamin terselenggaranya dan terfasilitasi pendidikan untuk peserta didik penyandang disabilitas oleh pemerintah Pusat dan pemerintah Daerah yang dilakukan di semua jalur jenjang dan semua jenis pendidikan  baik secara inklusif maupun khusus   Dan salah satu aspek pendidikan adalah pembangunan karakter Dan ini bukan hal mudah bagi peserta didik penyandang disabilitas maupun berkebutuhan khusus Sehingga perlu kesepahaman antara stake holder agar target pembangunan karakter dapat dicapai Acara ini menjadi langkah awal untuk menyamakan visi yang terkandung dalam PP No 132020  ini merupakan rangkaian acara menuju hari disbalitas internasional yang akan dihelat pada tanggal 03 Desember 2020 mendatang  kami memilih jogja sebagai tempat acara karena Daerah Istimewa Yogyakarta memiliki kepedulian yang kuat untuk pemenuhan dan pelindungan hakhak disabilitas dan bisa menjadi percontohan bagi wilayah lain bagaimana akses terhadap disabilitas bisa terselenggara dalam kehidupan keseharian  Apresiasi setinggitingginya untuk pemerintah provinsi DI Yogyakarta yang memberikan dukungan penuh terselenggaranya acara ini tanggal 11 November kami juga mengadakan lokakarya yang kedua dan masih bertempat di DI Yogyakarta serta pada 13 November di Magelang Jawa Tengah kemudian akan ditutup dengan webinar 23 November nanti   terimakasih sekali lagi kami ucapkan atas kehadiran dan atensi rekanrekan media semoga acara ini bisa terinformasikan bagi masyarakat luas dan memberi pemahaman bagi kita semua akan pentingnya segala upaya pemenuhan penghormatan dan pemberian akses bagi disabilitas dalam kehidupan masyarakat dalam ruang sosial bernegara  Wassalamualaikum WrWb  AYkunjungankerja,https://www.instagram.com/p/CHbgH25joaT,395,4
19,10,11,2020,angkie.yudistia,Dari pertama datang protokoler kesehatannya pun diterapkan dari ukur suhu tubuh dan juga benarbenar di jaga dengan ketat karena supaya tidak adanya kerumunan yang menumpuk  Lalu terpampang tulisan besar ini saat menuju candi ratu boko mengingatkan kita untuk selalu menjalankan 3M Memakai Masker Mencuci tangan dan Menjaga Jarak saat shoot ini sebagai tamu paling terakhir karena menjelang maghrib sudah di tutup  Senang banget bisa menyempatkan berkunjung kesini my heart is left here because it is so beyond incredible Jogja Istimewa   visitingjogjacom,https://www.instagram.com/p/CHaSPBMDRbp,286,1
19,10,11,2020,angkie.yudistia,Berbeda pula dengan keraton lain di Jawa yang umumnya didirikan di daerah yang relatif landai situs Ratu Boko terletak di atas bukit yang lumayan tinggi Ini membuat kompleks bangunan ini relatif lebih sulit dibangun dari sudut pengadaan tenaga kerja dan bahan bangunan Terkecuali tentu apabila bahan bangunan utamanya yaitu batu diambil dari wilayah bukit ini sendiri Ini tentunya mensyaratkan terlatihnya para pekerja di dalam mengolah bukit batu menjadi bongkahan yang bisa digunakan sebagai bahan bangunan  wikipedia  Menurut penjelasan guide tour tadi Batu ini berusia 1200 tahun Bahan batu ini berasal dari letusan gunung merapi yang mengalir ke sungai bahan itu yang membuat batu di candi ini Menarik ya aku pun kali pertama kesini dan belajar banyak hal baru  visitingjogjacom,https://www.instagram.com/p/CHaQ7GCjbDX,987,4
19,10,11,2020,angkie.yudistia,Sunset Keraton Ratu Boko  Situs Ratu Baka atau Candi Boko Hanacarakaꦕꦤꦝꦫꦠꦧꦏ bahasa Jawa Candhi Ratu Baka adalah situs purbakala yang merupakan kompleks sejumlah sisa bangunan yang berada kirakira 3 km di sebelah selatan dari kompleks Candi Prambanan  wikipedia   visitingjogjacom,https://www.instagram.com/p/CHaQLudjEuM,1071,5
