Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
6,5,6,2020,angkie.yudistia,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,4602,360
14,1,3,2020,angkie.yudistia,Mata kedipkedip karena radiasi handphone Coba di baca dulu sebentar ya  Setelah 2 bulan Kayla sakit bahkan sempat di rawat selama 15 hari di rumah sakit lain Hasilnya Diagnosa belum berdiri tegak Karena masih Panas lagi hingga 405 celcius dan hasil darah infeksi masih tinggi  Jadi cerita di rumah sakit pertama sudah aku jelaskan di postingan beberapa waktu lalu Saat ini update terbaru dengan observasi lagi dengan dokter yang berbeda Kenapa Kayla pindah dokter Karena dokter paru sebelumnya mengatakan Kayla ada dicurigai TBC karena parunya yang flek bahkan menyebabkan sepsis Karena gak yakin Jadi mencari second opinion Bahkan aku mencurigai Kayla yang kenapa sering kedipkedip matanya dan pusing dokter lama bilang  ini karena orangtuanya mengijinkan ngasih handphone  Dokter saat ini tidak menyakinkan untuk TB Akhirnya tambahan dokter THT yang mengatakan bahwa Kayla sinusitis Jadi mata kedipkedip itu artinya ada infeksi di sekitaran sinus yang sudah akut yang menyebabkan pneumonia paru Well Ini diagnosa yang tidak ada di dokter sebelumnya Dan hari ke3 Kayla di rumah sakit baru ini langsung di CT Scan agar tau tindakan selanjutnya agar tidak sakit berulang Jadi bu ibuu kalo anaknya sering kedipkedip dan pusing itu gejala awal JANGAN langsung memutuskan karena radiasi handphone ya Bisa jadi ada infeksi  Sebagai orangtua yang berusaha tetep kuat sedih juga dengan observasi anak sendiri Btw ini foto belum mulai tindakan ya jadi bisa di foto Karena aslinya saat tindakan Orangtua harus di luar dan tidak boleh ada foto atau rekaman  momwithdisability,https://www.instagram.com/p/B9LuETthuhZ,8878,321
2,28,2,2020,angkie.yudistia,Lagi Berkutik dengan rumah sakit Setelah sempat 15 hari di rawat dan sudah kembali ke sekolah Lalu per hari ini kakak kaylaalmahyra kembali di rawat lagi Artinya sakitnya belum tuntas Dengan pindah dokter dan rumah sakit semoga kakak Kayla makin kuat dan sehat ceria  Masih dengan infeksi paru Karena hari ini mendadak pulang sekolah demamnya 405 celcius panik langsung di bawa ke IGD Setelah observasi 10 jam kita lanjutkan lagi esok hari  Sekarang jam 0237 pagi Mohon doa kesembuhan Kayla yah   momwithdisability,https://www.instagram.com/p/B9FRIhlBJQl,8187,320
22,16,3,2020,angkie.yudistia,The most important thing is this To be able at any moment to sacrifice what we are for what we will become  Eric Thomas  angkieyudistia womanwithdisability,https://www.instagram.com/p/B9zJqRYhVRp,2931,270
17,16,3,2020,angkie.yudistia,jubirsosialpresiden 16032020  Pernyataan Presiden jokowi perihal Satgas Covid19 menjadi satusatunya rujukan informasi kepada masyarakat  jubirpresidenbidangsosial  stafkhususpresiden bersatulawancorona,https://www.instagram.com/p/B9ypoLXhx3x,1383,231
10,7,2,2020,angkie.yudistia,Happy Birthday Kakak kaylaalmahyra Walaupun ulang tahun di rumah sakit tapi Alhamdulilah Allah sayang banget sama Kakak Kayla yang semakin membaik Walaupun yaaa ini udah hari ke12 Kayla berjuang dengan demam tinggi kemarin Hari ini Kayla udah gak demam lagi sudah perlahan mau makan Doa hari ini mamih ga mau mulukmuluk kecuali Kayla diberi kesehatan sehingga bisa kembali beraktifitas   Yang nanya Kayla sakit apa dari kemarin kita semua termasuk dokter anak pun terus berusaha mencari tahu apa yang terjadi dengan keadaan Kayla Karena di usia 5 tahun ini kondisi yang jarang dipengalaman dokter Anak dari temperatur 37 derajat bisa langsung loncat ke 41 derajat dalam 1 jam Per hari ini Kayla dirujuk ke dokter paru agar segera ditindaklanjutkan karena ada infeksi yang sangat tinggi di flek parunya  Om tante yang terhormat dengan lubuk hati saya paling terdalam Mohon doakan Kayla ya semoga tetep selalu kuat di usia nya yang 5 tahun hari ini   momwithdisability womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/B8P_4cKhwJ6,4523,190
8,16,3,2020,angkie.yudistia,jubirsosialpresiden  Deteksi dini atas pandemi covid19 bisa kita mulai dari diri sendiri menjaga ketahanan tubuh adalah keharusan Namun kita juga harus mengenali gejala dalam tubuh kita jika imun mulai berkurang  Pemerintah telah menetapkan protokol kesehatan sebagai bentuk perlindungan dan pencegahan mewabahnya covid19 Jangan pernah ragu untuk memeriksakan kesehatan saat beberapa gejala mulai terasa dalam diri kita  Protokol kesehatan dibuat agar bisa menjadi pedoman masyarakat untuk terus memerhatikan kondisi tubuh sehingga tetap beraktifitas dengan tenang dan nyaman  Presiden telah menganjurkan untuk mengurangi aktifitas kita berada ditengah kerumunan untuk mengurangi potensi tersebarnya SARSCoV2 jika tidak ada keharusan yang mendesak  Di zaman kiwari dengan ketersediaan gawai untuk menghubungkan kita dengan dunia luar saat ini Kita masih bisa melakukan banyak hal produktif dengan WorkfromHome  Pemerintah pusat telah membentuk Gugus Tugas Percepatan Penanganan COVID19 untuk memastikan penanganan pandemi ini berjalan tepat terukur serta mampu bereaksi cepat atas segala potensi pewabahan dengan damapak yang lebih luas  Mari bergotong royong bersatulawancorona dan menjadi ini sebagai gerakan bersama untuk meredam laju penyebaran pandemi global dengan terus membiasakan untuk hidup bersih serta menjaga imunitas tubuh kita  Sumber  Kemenkes RI  16032020  AngkieYudistia JubirPresidenbidangSosial stayathome,https://www.instagram.com/p/B9xsxrThtMc,1438,182
10,17,3,2020,angkie.yudistia,Setiap hari pemerintah pusat terus memantau secara aktif penanganan pandemi covid19 yang merupakan bencana nasional dan mendapat perhatian serius untuk menekan angka pewabahannya  Gugus Tugas Percepatan Penanganan Corona Virus Disease 2019 Covid19 yang diketuai oleh Kepala BNPB Bapak Dony Munardo menjadi episentrum komunikasi serta penanganan terpadu untuk semua hal terkait virus SARSCoV2  Satgas Covid19 atau Gugus Tugas Percepatan Penanganan Corona Virus Disease 2019 adalah pusat dan satusatunya rujukan komunikasi terkait penanganan dan perkembangan informasi seputar covid19  Presiden menegaskan kebijakan lockdown baik di tingkat nasional atau daerah adalah wewenang pemerintah pusat Dan hingga hari ini tidak ada arah untuk mengambil kebijakan tersebut  Lockdown dan pengetatan akses publik merupakan hal yang berdeba Sehingga pemerintah daerah memiliki kewenangan untuk melakukan pembatasan warganya diruang terbuka yang memungkinkan pertemuan dan kerumunan yang disesuaikan dengan tingkat keterjangkitan covid19 di wilayah masingmasing  Sebagai negara Kepulauan Indonesia memiliki kultur demografi yang beragam Maka terkait penetapan stasus kebencanaan pandemi covid19 ini pemerintah daerah bisa mengambil kebijakan yang harus di konsultasikan dengan pemerintah pusat melalui Satgas Covid19  Pemerintah terus menyosialisasikan agar menjalankan aktifitas di rumah Belajar di rumah bekerja dari rumah dan ibadah di rumah Metode WorkfromHome bertujuan untuk mengurangi kontak dekat yang berpotensi terjadinya penyebaran virus  Namun bagi warga yang tetap dan harus berada diluar terutama dalam hal pelayanan masyarakat Kami meminta untuk terus menjaga imunitas tubuh dan kebersihan sebagai proteksi dini tubuh kita dari potensi ancaman virus atau penyakit apapun  Pemerintah memastikan penanganan terbaik untuk masyarakat dalam melewati pandemi kali ini Social Disatancing adalah gerakan bersama masyarakat untuk bersatulawancorona Menjaga kesehatan dan kebersihan bisa kita mulai dari diri sendiri Jika terjadi gejala tertentu ikuti protokol kesehatan yang telah ditetapkan pemerintah melalui kementerian,https://www.instagram.com/p/B90Z2IBBJuA,1485,178
19,23,1,2020,angkie.yudistia,Tau apa yang membuat aku berusaha bekerja dengan baik Karena kepercayaan itu ga bisa di bypass Kalo ada seseorang yang percaya dengan kemampuan kita lakukan terbaik dari yang biasa kita lakukan  Aku berusaha membagi semua waktu dengan skala prioritas Mempelajari banyak hal berfikir kritis bagaimana menyelesaikan solusi Berusaha untuk talk less and more action Jadi berusaha menyeimbangkan banyak hal  Tapi namanya juga manusia yak pertahanan runtuh jugaaak Malammalam di bawa lagi ke IGD Iyah lagi karena bulan lalu juga diinfus  Alhamdulilah gak sampai dirawat tapi butuh waktu untuk healing Jadi beberapa pekerjaan aku refer ke team Maafkan agak slow respon dulu yaaah   womanwithdisability hardofheariglyfe,https://www.instagram.com/p/B7qXTAWBZOQ,7949,151
22,2,2,2020,angkie.yudistia,spend the weekend with this girl in the hospital Setelah anak nomor 2 kena flu singapore dan di isolasi di rumah selama 2 minggu Lalu kakak kaylaalmahyra mendadak demam hingga hari ke 6 demamnya selalu di 3940 derajat Panik hasil laboratorium gak ada typus dan demam berdarah Jadi sampai saat ini masih di cari terus virus apa Mohon titip doa yaaah buat kakak kayla Semoga lekas sembuh dan kembali sekolah bersama temantemannya   momwithdisability,https://www.instagram.com/p/B8EgU5EBeEY,4290,151
