Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
19,26,3,2020,angkie.yudistia,Teriring doa untuk Bapak jokowi Sebuah kesedihan yang sedang kita rasakan merupakan sebuah tanda bahwa kita sangat mencintainya dilimpahkan oleh Allah kepada hambaNya yang kuat   angkieyudistia,https://www.instagram.com/p/B-Mj8UfBSpe,10039,142
22,7,1,2020,angkie.yudistia,Setelah berharihari berkutik dengan narasi banjir akhirnya ketemu dengan Stafsus gank Aseliiik perbincangan kita tuh berbobot tapi kadang diselipin bercandaan receh jugaaa  Mengutip captionnya ayukartikadewi tentang apa sih tugas kitakita ini aku ijin repost yang paling komplit yah   Kami bertujuh bagi2 topik berdasarkan issue yang kami concern dan punya pengalaman Tapi topik yang kami kerjakan bisa lebih luas dari daftar ini karena kadang2 Presiden minta kami ngasih rekomendasi inovatif tentang topik tertentu  ayukartikadewi megang beberapa topik  urban planning incl ibukota negara  keperempuanan  lingkungan hidup incl climate change plastik energi terbarukan dll  pendidikan perdamaian  pendidikan karakter  pengarusutamaan Pancasila  kesehatan incl mental health   Kalau yang lain pegang apa  Detailnya bisa nanya ke mereka yak  Tapi kurang lebihnya gini  belvadevara digital delivery public services UMKM incl upskilling pelibatan anak muda di dalam kebijakan publik  amaruf27 pengembangan pesantren pengembangan kecamatan akses beasiswa dan penanganan radikalisme  Taufan ekonomi informal digitalisasi pedesaan inklusi keuangan pengentasan kemiskinan dan industri olahraga  angkieyudistia menciptakan lingkungan inklusi disabilitas  nondisabilitas dan jubir Presiden bidang sosial  putri_tanjung industri kreatif pariwisata  billymambrasar pemberdayaan kewirausahaan anak muda pengembangan Indonesia Timur  yang nanya billy kemana billy masih di perjalanan pulang dari US Sekian terima kasih salam dari kami semua   stafkhususpresiden,https://www.instagram.com/p/B7Bgw6nBdM7,9644,66
14,1,3,2020,angkie.yudistia,Mata kedipkedip karena radiasi handphone Coba di baca dulu sebentar ya  Setelah 2 bulan Kayla sakit bahkan sempat di rawat selama 15 hari di rumah sakit lain Hasilnya Diagnosa belum berdiri tegak Karena masih Panas lagi hingga 405 celcius dan hasil darah infeksi masih tinggi  Jadi cerita di rumah sakit pertama sudah aku jelaskan di postingan beberapa waktu lalu Saat ini update terbaru dengan observasi lagi dengan dokter yang berbeda Kenapa Kayla pindah dokter Karena dokter paru sebelumnya mengatakan Kayla ada dicurigai TBC karena parunya yang flek bahkan menyebabkan sepsis Karena gak yakin Jadi mencari second opinion Bahkan aku mencurigai Kayla yang kenapa sering kedipkedip matanya dan pusing dokter lama bilang  ini karena orangtuanya mengijinkan ngasih handphone  Dokter saat ini tidak menyakinkan untuk TB Akhirnya tambahan dokter THT yang mengatakan bahwa Kayla sinusitis Jadi mata kedipkedip itu artinya ada infeksi di sekitaran sinus yang sudah akut yang menyebabkan pneumonia paru Well Ini diagnosa yang tidak ada di dokter sebelumnya Dan hari ke3 Kayla di rumah sakit baru ini langsung di CT Scan agar tau tindakan selanjutnya agar tidak sakit berulang Jadi bu ibuu kalo anaknya sering kedipkedip dan pusing itu gejala awal JANGAN langsung memutuskan karena radiasi handphone ya Bisa jadi ada infeksi  Sebagai orangtua yang berusaha tetep kuat sedih juga dengan observasi anak sendiri Btw ini foto belum mulai tindakan ya jadi bisa di foto Karena aslinya saat tindakan Orangtua harus di luar dan tidak boleh ada foto atau rekaman  momwithdisability,https://www.instagram.com/p/B9LuETthuhZ,8878,321
2,28,2,2020,angkie.yudistia,Lagi Berkutik dengan rumah sakit Setelah sempat 15 hari di rawat dan sudah kembali ke sekolah Lalu per hari ini kakak kaylaalmahyra kembali di rawat lagi Artinya sakitnya belum tuntas Dengan pindah dokter dan rumah sakit semoga kakak Kayla makin kuat dan sehat ceria  Masih dengan infeksi paru Karena hari ini mendadak pulang sekolah demamnya 405 celcius panik langsung di bawa ke IGD Setelah observasi 10 jam kita lanjutkan lagi esok hari  Sekarang jam 0237 pagi Mohon doa kesembuhan Kayla yah   momwithdisability,https://www.instagram.com/p/B9FRIhlBJQl,8187,320
19,23,1,2020,angkie.yudistia,Tau apa yang membuat aku berusaha bekerja dengan baik Karena kepercayaan itu ga bisa di bypass Kalo ada seseorang yang percaya dengan kemampuan kita lakukan terbaik dari yang biasa kita lakukan  Aku berusaha membagi semua waktu dengan skala prioritas Mempelajari banyak hal berfikir kritis bagaimana menyelesaikan solusi Berusaha untuk talk less and more action Jadi berusaha menyeimbangkan banyak hal  Tapi namanya juga manusia yak pertahanan runtuh jugaaak Malammalam di bawa lagi ke IGD Iyah lagi karena bulan lalu juga diinfus  Alhamdulilah gak sampai dirawat tapi butuh waktu untuk healing Jadi beberapa pekerjaan aku refer ke team Maafkan agak slow respon dulu yaaah   womanwithdisability hardofheariglyfe,https://www.instagram.com/p/B7qXTAWBZOQ,7949,151
7,13,4,2020,angkie.yudistia,Selamat pagi semesta   Tuhan memberikan kita hidup bukan hanya karena kita membutuhkannya melainkan seseorang dan mungkin beberapa orang membutuhkan kita Hiduplah seperti itu niscaya kita tumbuh kuat bersama  AY,https://www.instagram.com/p/B-5otomhPyl,7808,4
23,4,5,2020,angkie.yudistia,Aku kangen Titik ________ ayukartikadewi  putri_tanjung  billymambrasar  belvadevara  amarthaid  amaruf27,https://www.instagram.com/p/B_xcWQeJYms,7515,6
9,18,4,2020,angkie.yudistia,banyak yang tag tentang masker transparan jadi voila Ini aku pun mencoba masker transparannya  Masker ini memang kebutuhannya tergantung lingkungannya Paling utama adalah keluarga yang menggunakannya karena paling terdekat dengan teman tulirungu untuk berinteraksi lalu rekan kerja yang masih bekerja diluar Karena terus terang kesulitan kami dalam mendengar membuat kami lebih banyak bingungnya Dunia kembali hening  Sebenernya masker ini kenyamanannya belum terlalu maksimal jika dipakai lama itu karena Mika transparan tapi terus dicoba dengan pemilihan bahan dan lebih banyak bahannya memudahkan kita untuk terus bernafas Tetap semangat ya temanteman yang utama Tetap dirumahaja  Masker ini dapat di order di syaheeraid  sajadah_syaheera   womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/B_Gw6J9p2bd,7383,15
21,17,4,2020,angkie.yudistia,Adakah yang ingin kita katakan kepada diri sendiri  Dear Me  kita sudah melewati 31 tahun bersama Kita masih harus terus saling mengenal  Maafkan aku aku tau kamu sudah berusaha Maaf jika aku kurang menghargaimu Maaf jika aku salah memperlakukanmu Maafkan aku telah membuatmu rendah diri Maaf telah membuatmu kerja keras Itu semua pasti sangat sulit bagimu ya  Kamu pasti ingin menangis tapi kamu tetap tersenyum Terima kasih ya kamu sudah tetap tersenyum Terima kasih sudah tetap kuat  Itu sebabnya mulai saat ini kita harus jauh lebih bahagia Lupakan hal yang membuat sedih hiduplah untuk realita masa kini  Sekali lagi kita pasti bisa Berjayalah pasti bisa Tetap kuat ya sampai akhir  Love AY  Ga ada salahnya kita juga bisa mulai berdamai dengan diri sendiri berbicara dengan diri sendiri Menyayangi diri kita apa adanya Membuat kita jauh lebih menghargai hidup   womanwithdisability AY angkieyudistia,https://www.instagram.com/p/B_Fc62jpwXj,7329,17
20,8,4,2020,angkie.yudistia,Kalo ditanya lagu apa yang paling aku hapal lyricnya Jelas lagu nya glennfredly309  Bertahuntahun lagu yang menemani aku dari desible telingaku masih di ambang baikbaik saja sampe tuli total Hanya lagu Glenn Fredly yang menemaniku sepanjang masa kehidupan suarasuara yang aku dengar di dunia ini Sungguh tak lekang oleh waktu untuk semua lagunya  Citacitaku yang belum kesampaian adalah nonton konsernya Hingga saat ini keinginan yang tak tersampai Rest in Peace bung gleen yang kita belum pernah jumpa karyamu selalu abadi Terima kasih telah menjadi hebat  ,https://www.instagram.com/p/B-uLUSJBtph,6970,54
