Username,Bulan,Jumlah_Like,Rata_Like,Jumlah_Komen,Rata_Komen,Jumlah_Postingan
angkie.yudistia,1,139012,3390,1540,37,41
angkie.yudistia,2,99714,2432,1435,35,41
angkie.yudistia,3,123259,1867,2809,42,66
angkie.yudistia,4,80519,2300,273,7,35
angkie.yudistia,5,89092,1536,308,5,58
angkie.yudistia,6,72088,1533,709,15,47
angkie.yudistia,7,43016,1303,103,3,33
angkie.yudistia,8,36820,1187,140,4,31
angkie.yudistia,9,42530,1149,231,6,37
angkie.yudistia,10,32643,1255,378,14,26
angkie.yudistia,11,26253,750,251,7,35
