Tanggal,Bulan,Caption,Postingan,Username,Komentar_Utama,Jumlah_Like,Komentar_Reply
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,dindaseniwati,Barakallah fi umrik inspirasiqu,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,ginaya_haifa_putri,Selamat ulang tahun kak angkie,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,fitri_abdianti,Sama tgal lahir kita kak angki aku juga berulangtahun hari nihappy birthday to you,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,nora_rahmawaty,Happy birthday angkieyudistia semoga panjang umur sehat bahagia  sukses selalu,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,tiara_aurelia_140409,Kak angkie ultah nya barengan sama yoo in na,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,nadiatrisusanti,Selamat ulang tahun mba angkie,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,juniepsi,Hepi besdey my inspiration Inspirasi for all Motivasi kcantikanpaket komplit Smga slu berkah y mbaak Amiin ya alloh,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,ary.nugroho,Met Ultah Angkiesemoga selalu sehat semangat dan tetap dalam naungan keberkahanNya ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,porwatsofyhida,Happy birthday Gemini girl sehat dan bahagia selalu ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,futri_astuti,Barakallahu fii umrik mbangkie semoga Allah paring kesehatanumur panjang barakahrezeki yg cukup barakahsukses dunia akhirat Aamiin,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,avyantini2,Barakallahu fii umrik Angkie ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,ives_aqira,happy bday Angkie ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,deroooel_17,Sanah helwa ka angkieyudistia,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,galuhdamargalih0107,Happy milad mba angkieyudistia barakallah fii umrik hari ini jg sama dgn anak sy ultahnya yg ke 8thn semoga pintar nya menular ya seperti mba angkieyudistia ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,ndari9815,Selamat Ulangtahun kakak cantikss ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,intan_maharani,HBD Angkie Semoga selalu sukses sehat dan happy ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,beranimajuid,Barakallahufiiumrik ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,nitajunitawidi56,Ya Allah seneng banget sama panutan mbak angkie dan yang paling seneng ulang tahun nya sama  selamat ulang tahun buat mbak angkie dan aku ,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,ratu_al,Happy birthday ibu hebat angkieyudistia,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,eganandita,Happy birthdaaay angkieyudistia keep inspiringgg cantiiik,1,0
5,6,5 june 2020  Count not the candlessee the lights they give Count not the years but the life our live Wishing a wonderful time ahead Happy birthday to Me   AYbirthday womanwithdisability hardofhearinglyfe,https://www.instagram.com/p/CBCAyzpJda-,elydinayanti,Selamat ulang tahun Mba Angkie Semoga sukses selalu,1,0
