Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
18,11,11,2020,ayukartikadewi,Jadi relawan yukkkkk   Saya lagi cari relawan nih buat merancangid dan ajakgerakid  Ntar kita bisa bareng2 mikirin gimana caranya agar kedua gerakan ini bisa makin berdampak makin banyak yang terlibat dan makin seru   ___  Merancangid seperti namanya adalah platform buat anak muda ikut merancang masa depan Indonesia  AjakGerakid bukanlah acara ngajak senam  tapi ngajakin lebih banyak orang untuk ngebantuin organisasi2nya anak muda bisa dengan donasi  mentoring  relawan  Silakan cek slide2 setelah ini yak untuk info detail ttg dua gerakan ini   ___  Daftar jadi relawannya di sini ya  bitlyajakmerancang  Ditungguuuuuu   Tips kalau mau ngajak gebetan untuk jadi relawan bareng ini adalah kesempatan mulia ,https://www.instagram.com/p/CHcrimUMAYg,992,41
12,10,11,2020,ayukartikadewi,10 November 2010  10 November 2020  Sepuluh tahun lalu kami jadi guru SD setahun  Kami ditempatkan di berbagai desa di Indonesia  Ketika daftar saya udah kerja bbrp tahun di Singapore  Saya dapet penempatan di Halmahera Selatan Maluku Utara  Kok mau jadi guru SD  Saya dulu sih penasaran aja saya selalu pengen melakukan sesuatu untuk Indonesia jadi pengen coba jadi guru setahun   ___  Selama 10 tahun ini kami masih sering banget ketemuan  Terima kasih pada agusrachmanto12 yang sudah mengangkat diri sendiri menjadi Ketua Panitia Reuni seumur hidup Hampir tiap 3 bulan sekali kami ketemuan di rumah seseorang  Setelah pandemi kami ketemuannya pindah ke zoom  Sekarang ada yang sambil nyuapin anak saling cerita ttg sidehustling terbaru ngasih update tentang hidup masing2 dan menertawakan kekonyolan masa lalu  Selama 10 tahun ini grup kami selalu berisik  Dulu banget masih pakai BBM grup lalu pindah ke WhatsApp  Topiknya berganti2 dengan cepat dari hari ke hari mulai dari meme terbaru tips latihan wawancara beasiswa sampai cicilan KPR  Selama 10 tahun ini grup ini adalah salah satu grup yang sering kami jadikan rujukan karena pertanyaan seabsurd apapun biasanya selalu ada yang punya jawabannya Contoh pertanyaan geng tau gak bisa nyari kepala truk merek x tahun sekian di mana gue udah cari ke mana2 gak ada Yang ajaib ada loh yang punya jawabannya  ___  Kami selalu percaya bahwa angkatan kami sudah pasti bukan yang terbaik tapi kami pasti adalah yang pertama   Oh btw di angkatan kami juga ada 5 pasangan yang nikah sesama angkatan 1  Maka anak2 mereka adalah anak2 pureblood angkatan 1  udah direvisi jadi 5 tadinya saya nulis 3 trus diomelin oleh ybs di komen   ___  Ini adalah foto abis call weekend lalu dengan gaya Hasan Internal jokes   Slide kedua adalah bukti bahwa saya beneran pernah jadi Pengajar Muda ind_mengajar angkatan 1  angkatan satu sekarang udah angkatan berapa belas dua puluh Ada Pengajar Muda di sini Angkatan berapa kalian ,https://www.instagram.com/p/CHZjrtOsA--,1496,86
11,8,11,2020,ayukartikadewi, kamalaharris thank you for showing us whats possible,https://www.instagram.com/p/CHUP5gysg6P,1062,9
18,7,11,2020,ayukartikadewi,Lagi meeting  Tiba2 anak2nya clarinandreny nyamperin dan pengen ikut ngomong trus melet2 di video  Apakah kami a minta Reny cari tempat yang sepi b minta Reny ngemute c ngajak si kembar foto bareng sambil melet   Dan karena rachmatfathoni dan irfansarhindi juga punya bayi sering banget kami lagi meeting trus kedengeran bayi nangis atau berceloteh   Biasanya kami langsung ribut minta anak2 ikutan meeting  Yah gitu deh  Jangan serius2 guys kalau lagi meeting  ,https://www.instagram.com/p/CHSbJBisCqq,518,6
18,6,11,2020,ayukartikadewi,Would you,https://www.instagram.com/p/CHP0Krpsqkp,1304,48
19,5,11,2020,ayukartikadewi,Beneran gak sabar pengen denger ide2 keren dari anak muda tentang bagaimana kita bisa merancang Indonesia pada masa depan   Tungguin ya   Belum ada apa2 kok di merancangid  tapiiii mau cari masukan dong siapa yang punya pemikiran keren yang harus banget ikutan ngasih ide di sini Boleh dong ditag orangnya dan kira2 dia punya ide dalam hal apa  Maaci teman2 ,https://www.instagram.com/p/CHNWKHgsd16,193,7
18,1,11,2020,ayukartikadewi,Proses melatih empati adalah perjalanan seumur hidup  Kalau kita bisa berempati lebih baik hubungan kita dengan kehidupan di sekitar kita juga akan membaik ortu saudara anak teman rekan kerja bahkan binatang peliharaan dan tanaman  Dan kalau hubungan2 kita membaik maka kita akan jadi lebih bahagia  ___  Hidup bukan kompetisi bukan melulu soal menangkalah  Hidup lebih banyak butuh kolaborasi  Menikah adalah kesepakatan berkolaborasi dalam hidup dan jika memutuskan utk punya anak adalah proses kolaborasi mendidik  Berorganisasi adalah kesempatan berkolaborasi mencapai tujuan organisasi yang tidak akan bisa dicapai kalau kita bergerak sendirian  Bekerja adalah tempat melatih kolaborasi dengan rekan sekantor  Berolahraga dalam tim juga proses berkolaborasi  Berbisnis juga  Dan semuanya butuh melatih empati  ____  Komik bagus kolaborasi indorelawan dan indikafoundation  karya calitahin,https://www.instagram.com/p/CHC9v7lsx4h,1808,32
17,31,10,2020,ayukartikadewi,Topik ajakgerakid November PEMBERDAYAAN PEREMPUAN   Kali ini AjakGerak berkolaborasi dengan Kementerian Pemberdayaan Perempuan dan Perlindungan Anak  AjakGerak mengundang temen2 yang punya organisasi komunitas yang berfokus ngebantu perempuan Indonesia untuk ikutan AjakGerak Temen2 bisa dapetin minigrant supaya programnya bisa ngAjakGerak makin banyak orang  Programnya boleh gimana aja asalkan fokusnya adalah membantu perempuan Bisa bidang pendidikan perlindungan dari kekerasan dan pernikahan dini kemampuan ekonomi dan masih banyak lagi  Yuk cek bitlyngajakgerak dan daftarkan organisasikomunitasmu sebelum tanggal 15 November  Tag temen2mu yang punya gerakan keren bertema pemberdayaan perempuan ,https://www.instagram.com/p/CHAQ7ttMg7g,495,35
20,28,10,2020,ayukartikadewi,Ada pantun dari relawan sabangmerauke    Terbang ke Rote joget Maumere Ke Pulau Bangka membeli belati Selamat Ulang Tahun SabangMerauke Merawat toleransi kini dan nanti    ___  Gak terasa eh nggak ding terasa banget  SabangMerauke udah 8 tahun  Dimulai dari ide yang dipantik oleh keresahan melihat intoleransi di Indonesia dan diinspirasi oleh pengalaman para cofoundersnya ketika ikut pertukaran pelajar maka hadirlah SabangMerauke  Coba tebak kenapa kami sengaja banget memilih tanggal 28 Oktober sebagai hari lahir SabangMerauke a supaya gampang ingetnya  b agar barengan dengan ultahnya cofounder SabangMerauke putrirdlestari  c karena Sumpah Pemuda adalah tonggak penting persatuan Indonesia satu tanah air satu bangsa satu bahasa d semua benar  Terima kasih untuk semua relawan dan supporter SabangMerauke  Teman2 semua telah ikut serta menuliskan masa depan Indonesia yang lebih toleran,https://www.instagram.com/p/CG45n4kMe9Y,199,5
20,25,10,2020,ayukartikadewi,PENGUMUMAN AJAKGERAK OKTOBER   If we dont participate in it it ceases to be a democracy  Dalam 10 hari terakhir kami telah bertemu secara virtual dan membaca proposal dari begitu banyak organisasi yang bekerja keras untuk memastikan bahwa anak muda Indonesia semakin semangat dan mampu untuk berpartisipasi dalam demokrasi negara ini  Ini dia 2 pemenang ajakgerakid edisi Oktober  1 Komite Independen Sadar Pemilu Bantul DIY kisp_id  Program Gerakan Kaum Muda dan Desa Peduli memberi pelatihan Pendidikan Politik kepada generasi muda di Desa Murtigading yang sudah mendeklarasikan diri sebagai desa anti politik uang Cara penyampaian mereka tidak hanya dengan caracara tradisional tapi juga melalui aplikasi radio desa dan website interaktif agar warga desa bisa mendapatkan informasi yang mereka butuhkan untuk berdemokrasi  2 Koalisi Perempuan Indonesia untuk Keadilan dan Demokrasi Cabang Bogor Bogor Jawa Barat kpicabangbogor  Walaupun pemerintah sudah menetapkan peraturan mengenai kuota 30 untuk keterwakilan perempuan dalam politik realita di lapangan menunjukkan bahwa suara perempuan jarang dipertimbangkan Inisiatif ini memberikan pelatihan dan pendampingan ke 60 perempuan di 5 area agar perempuan desa bukan hanya terlibat aktif tapi juga bisa menggunakan posisi mereka secara strategis dalam pembangunan desa  ___  Perjalanan merawat demokrasi Indonesia adalah perjalanan sepanjang masa  Terima kasih kepada teman2 yang sudah mendaftar AjakGerak terima kasih kepada teman2 yang sudah bergerak menjaga demokrasi  Dan selamat kepada kedua pemenang ,https://www.instagram.com/p/CGxKyrKsrYs,214,6
