Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
17,27,4,2020,ayukartikadewi,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,2094,202
19,28,9,2020,ayukartikadewi,SKOLIOSIS 2016 vs 2020  4 tahun lalu ketika saya medical check up secara gak sengaja ketauan bahwa saya punya skoliosis tulang punggung melengkung ke samping Penyebabnya Biasanya sih karena kebiasaan yang gak baik misal posisi duduk yang ngasal selama berjam2 bertahun2 kebiasaaan berdiri yang gak seimbang misal bertumpu di satu kaki bawa tas berat yang selalu di salah satu pundak aja dll  Setelah saya tau saya skoliosis saya jadi paham kenapa saya kadang2 merasa back pain sakit punggung Kalau sedang parah dudukberdiri aja bisa kesakitan  Kita semua pasti ada ketidakseimbangan di badan tentu dengan derajat yang berbeda2 tapi gak semua aware dengan kondisi kita masing2 Kalau kita nendang bola misalnya pasti ada kaki yang lebih dominan Atau ada tangan yang jauh lebih aktif daripada yang satunya Kalau kita sedang stretching pasti ada satu gerakan yang tangan kanannya bisa sampai tapi tangan kirinya gak bisa atau sebaliknya  Itu semua adalah gejala2 ketidakseimbangan  Untungnya ada temen yang mengenalkan saya ke guru yoga Mas ariwaw Ketika pertama kali ketemu Mas Ari cuma ngeliat xray saya trus nanya Ayu udah berapa tahun main biola atau gitar  Tebakan yang sangat jitu  Mas Ari memang spesialisasinya ngurusin orang2 yang struktur badannya perlu dibenerin  Di kelas kami ada beberapa yang skoliosis saraf kejepit cedera karena laribasket atau kecelakaan  Sejak pandemi saya malah jadi lebih rajin latihan yoga bisa hampir tiap hari dan ikut kelasnya Mas Ari via online  ___  Foto xray ini adalah perbandingan 2016 vs 2020 Keliatan banget tulang punggungnya jadi lebih lurus tanpa operasi Di sini juga keliatan sudut antara tulang punggung ke payudara saya lengkungan di bagian bawah juga lebih sama  ps saya gak pakai brace cuma yoga aja  ngebenerin postur badan  Tips dari Mas ariwaw kalau skoliosis atau untuk mencegah skoliosis  jangan olahraga yang high impact lari misalnya  jangan sit up  benerin kebiasaan2 diri seperti duduk berdiri  pakai tas ransel di kedua bahu  Ini bukan post berbayar krn justru saya selama ini bayar utk ikut kelasnya  Tapi beneran berasa dampaknya  Geng skoliosis mana suaranyaaaaaa,https://www.instagram.com/p/CFriQmJsnWb,1572,149
16,21,5,2020,ayukartikadewi,Audit Pertemanan  Apa tu   Laporan keuangan diaudit  Barang juga kita audit dengan metode Marie Kondo atau goodbyethings  Masa temen gak kita audit  __  Dan apa hubungannya Audit Pertemanan dengan upaya agar gak takut gagal  Nonton deh petikan obrolan gw dengan abigailimuria cofoundernya lalitaproject  Sesi kami PAMER KEGAGALAN juga udah ada di YouTubenya perempuangagal yak   Yang udah melakukan atau akan melakukan Audit Pertemanan mana suaranyaaa ,https://www.instagram.com/p/CAcbxVJh7rl,3132,146
19,12,1,2020,ayukartikadewi,CANTOLAN MIMPI  Gw percaya bahwa kita harus diingatkan pada mimpi2 kita dan bahwa orang2 di sekitar kita akan secara sadar ataupun tidak akan membantu kita menuju mimpi kita  Semesta mendukung  Yang menakutkan adalah berani menceritakan mimpi itu  Karena kita bisa ditertawakan kalau mimpi kita terlalu tinggi Dan kita bisa dihina kalau ternyata kita gagal Kita jadi vulnerable  Jadi memang menceritakan mimpi itu menakutkan  Tapi tetap harus diceritakan  Karena kita bisa jadi akan dapat masukan dan yang paling menguatkan kita dapat bantuan  Yang tidak kalah menakutkan adalah berani memulai meraih mimpi itu  Tapi kan katanya kan mimpi tu harus menakutkan  Kalau gak menakutkan artinya mimpinya kurang besar  __   Tahun 2016 gw secara gak sengaja dapat lebihan undangan ikut Upacara 17 Agustus di Istana  Lalu gw iseng ngepost ngantor di sini kayaknya seru  bisa piknik   Tahun 2019 beneran kejadian tanpa gw upayakan secara sadar artinya gw gak pernah apply untuk jadi Stafsus __  Tahun 2010 gw pernah bikin sesi Pohon CIta2 buat anak2 SMA di Maluku Utara  Gw nulis kuliah di Amerika Swipe deh  Tahun 2013 setelah gagal daftar sekolah  beasiswa sekitar 10x akhirnya gw berangkat ke Amerika  Dulu ketika S1 gw pernah ikut pertukaran ke Singapore 5 bulan  Gw bertekad suatu hari akan kembali lagi ke sana  Gw menyimpan kartu MRT Singapore di dompet  Ternyata setelah lulus S1 gw diterima kerja di PG dan langsung diminta training di Singapore 2 bulan  Bbrp tahun kemudian gw dipindah kerja ke SIngapore 3 tahun di sana  Dan mungkin ada banyak hal2 lain yang gw sempat cita2kan sempat gw ucapkan gw upayakan dan akhirnya tercapai  Bahkan kadang2 ada hal2 yang gw udah lupa pernah ucapkan dan tercapai juga   Gw gak percaya magis  Postingan gw tempelan di pohon cita2 atau menyimpan kartu MRT gak akan memberikan kekuatan ajaib buat gw  Tapi hal2 itu akan menjadi cantolan mimpi kita  Mengingatkan kita bahwa ada cita2 yang kita gantungkan di sana  Dan menguatkan kita bahwa harapan itu mungkin jadi nyata  Kamu ada cerita2 tentang cantolan mimpi ini ,https://www.instagram.com/p/B7OEf3IhL53,3043,137
18,5,5,2020,ayukartikadewi,Tentang tujuan hidup dan tentang kebaikan yang tidak akan siasia  Repost indonesiabutuhanakmuda  Ayu Kartika Dewi anak muda pejuang toleransi dan pendidikan di Indonesia yang sarat dengan prestasi akademik maupun pengalaman bergerakdari rasa kepedulian yang tinggi Ayu berani meninggalkan zona nyaman di dunia korporat dan memilih untuk mengajar di sebuah sekolah dasar di Maluku Utara  Ayu juga mendirikan SabangMerauke sebuah program pertukaran pelajar antardaerah di Indonesia dengan fokus menanamkan nilai toleransi pendidikan dan keindonesiaan Rekam jejaknya yang mentereng ini membuatnya dipercaya menjadi Staf Khusus Presiden  Sesi dari ayukartikadewi  Pejuang Pemahaman ini dapat kamu saksikan di indonesiabutuhanakmudanarasitv,https://www.instagram.com/p/B_zcWSXBEwb,3837,109
12,4,3,2020,ayukartikadewi,ceritasaya x gambarnana Episode 1  Banyak yang nanya2 sehari2 stafsus tu ngapain aja sih  Nah sekalian untuk menjawab rasa penasaran ini gw dan Nana akan bikin komik yang menceritakan keseruan dan kekocakan sehari2 gw  __  Rencananya komik ceritasaya akan terbit setiap 2 minggu  Edisi perdana ini menceritakan tentang hariH pelantikan  Swipe deh untuk tau Whatsapp message dari siapa yang paling membuat gw tercenung  Edisi2 selanjutnya yang menceritakan perjalanan selama November  Desember  Januari lagi dibikin  Sabar yak  __  Kabarin ya kalian mau tau tentang apa lagi ,https://www.instagram.com/p/B9TLdkbBgHX,2129,106
19,31,3,2020,ayukartikadewi,Rame bet pertanyaan di DM tentang covadcovid   Mari2 gw jawab di sini  KE MANA AJA KAK BEBERAPA HARI KOK GAK POSTING  SABTU KEMAREN JUGA GAK ADA catatansyukur  Lagi syibukkk   Hampir tiap hari termasuk Sabtu Minggu lembur nyiapin file tentang Covid19 untuk dikirim ke Presiden  Isinya adalah saran2 berdasarkan hasil riset gw dan dibantu dengan tim2nya Stafsus merangkum pembelajaran dari negara2 lain dan masukan2 yang kami baca2 di socmed dan di grup2 yang juga peduli tentang Covid19   STAFSUS MILENIAL SELAMA CORONA KERJAANNYA NGAPAIN AJA  Itu di atas udah gw jawab   Tugas kami memang bukan eksekusi pelaksana gak kayak Menteri misalnya yang punya wewenang  tim  anggaran untuk bikin program  Kami tugasnya adl ngasih saran dan sumbang pikiran ke Presiden  Kami juga berinisiatif untuk minta bergabung di Gugus Tugas Covid yg dipimpin BNPB jadi skrg kami bantuin beberapa hal di sana  Selain itu kami lagi nyiapin gerakan maskerkainuntuksemua  Belajar dari negara Ceko yang dalam 10 hari bisa membuat 100 warganya pake masker ketika keluar rumah  Ceko  mengajak semua orang ikut bikin masker kain  Kenapa masker kain  Memang gak seefektif surgical mask atau N95 tapi ini lebih baik daripada tidak pakai masker sama sekali  Ingat meskipun kita tidak ada gejala mungkin aja kita udah tertular Corona sehingga kita bisa nularin orang lain  Kita mungkin gak sakit tapi kita bisa bikin orang lain meninggal  Yang punya UMKM daftar di sini yuk tinyurlcommaskeruntuksemuaumkm  __   KAKAK TAU LAGI DIJULIDIN DI TWITTER  Tau banget  Disuruh resign kan   Sebenernya sedih banget karena gw sangat bisa memahami kefrustrasian semua orang  Semua khawatir tertular Corona dan banyak orang yang jadi berkurang pendapatan atau bahkan kehilangan pekerjaan  Yang bisa gw janjikan dan sudah selalu lakukan adalah gw akan terus menyuarakan apa yang menurut gw terbaik untuk Indonesia   KAKAK UDAH TES CORONA  Belum  Alhamdulillah gw gak ada gejala apapun bersin batuk sesak napas jadi gw menolak ketika ditawari untuk tes meskipun sebenernya Stafsus dapat slot  Jadi jatah tes gw bisa diberikan untuk yang lebih berisiko misal tenaga kesehatan,https://www.instagram.com/p/B-ZfT38h1-g,969,98
17,7,6,2020,ayukartikadewi,Saya sedang nulis buku  __  Deg2an  karena sedang ngebut nulisngedit ngejar deadline yang semakin dekat dan karena harap2 cemas semoga tulisannya bermanfaat  Topik besarnya adalaaah tentang mindfulness dalam keseharian  Kirakira isinya berisi pemahaman saya tentang meditasi tentang stres dan emosi serta tentang kegagalan dan ketakutan  Nah saya butuh bantuan teman2 nih  __  Tulis dong di komen  1 Pertanyaan apaaa aja tentang topik2 ini Bisa tentang istilah yang belum dipahami tentang miskonsepsi atau tentang tips2 Anything  2 Judulnya apa ya  __  Maaciiiiii temanteman __  ps uuuu banyak yang komen  syenang ini beneran saya bacain dan saya catetin satu yaaa terima kasihhh  __  __  sweetescape,https://www.instagram.com/p/CBIWOM4hK9H,1590,97
12,10,11,2020,ayukartikadewi,10 November 2010  10 November 2020  Sepuluh tahun lalu kami jadi guru SD setahun  Kami ditempatkan di berbagai desa di Indonesia  Ketika daftar saya udah kerja bbrp tahun di Singapore  Saya dapet penempatan di Halmahera Selatan Maluku Utara  Kok mau jadi guru SD  Saya dulu sih penasaran aja saya selalu pengen melakukan sesuatu untuk Indonesia jadi pengen coba jadi guru setahun   ___  Selama 10 tahun ini kami masih sering banget ketemuan  Terima kasih pada agusrachmanto12 yang sudah mengangkat diri sendiri menjadi Ketua Panitia Reuni seumur hidup Hampir tiap 3 bulan sekali kami ketemuan di rumah seseorang  Setelah pandemi kami ketemuannya pindah ke zoom  Sekarang ada yang sambil nyuapin anak saling cerita ttg sidehustling terbaru ngasih update tentang hidup masing2 dan menertawakan kekonyolan masa lalu  Selama 10 tahun ini grup kami selalu berisik  Dulu banget masih pakai BBM grup lalu pindah ke WhatsApp  Topiknya berganti2 dengan cepat dari hari ke hari mulai dari meme terbaru tips latihan wawancara beasiswa sampai cicilan KPR  Selama 10 tahun ini grup ini adalah salah satu grup yang sering kami jadikan rujukan karena pertanyaan seabsurd apapun biasanya selalu ada yang punya jawabannya Contoh pertanyaan geng tau gak bisa nyari kepala truk merek x tahun sekian di mana gue udah cari ke mana2 gak ada Yang ajaib ada loh yang punya jawabannya  ___  Kami selalu percaya bahwa angkatan kami sudah pasti bukan yang terbaik tapi kami pasti adalah yang pertama   Oh btw di angkatan kami juga ada 5 pasangan yang nikah sesama angkatan 1  Maka anak2 mereka adalah anak2 pureblood angkatan 1  udah direvisi jadi 5 tadinya saya nulis 3 trus diomelin oleh ybs di komen   ___  Ini adalah foto abis call weekend lalu dengan gaya Hasan Internal jokes   Slide kedua adalah bukti bahwa saya beneran pernah jadi Pengajar Muda ind_mengajar angkatan 1  angkatan satu sekarang udah angkatan berapa belas dua puluh Ada Pengajar Muda di sini Angkatan berapa kalian ,https://www.instagram.com/p/CHZjrtOsA--,1496,86
17,7,1,2020,ayukartikadewi,The Stafsus Gank minus Billy yang masih di US   Tadi sore ada acara Pelantikan Hakim Konstitusi di Istana jadi mumpung lagi pake baju resmi jas dan kebayabatikkain tenun kami foto2 deh di taman Istana yang cakep itu  __   NGAPAIN AJA SIH STAFSUS INOVASI TU  Intinya kami ada 2 tugas utama 1 Jadi teman diskusi Bapakbos 2 Jadi jembatan ke anak2 muda  Nah untuk bisa jadi teman diskusi yang mumpuni dan substantif kami harus banyak menganalisis permasalahan belajar tentang ilmunya ngobrol dengan berbagai orang dan mensintesiskan rekomendasi yang inovatif   ADA TOPIK2 TERTENTU YANG DIHANDLE GAK  Ada  Kami bertujuh bagi2 topik berdasarkan issue yang kami concern dan punya pengalaman  Tapi topik yang kami kerjakan bisa lebih luas dari daftar ini karena kadang2 Presiden minta kami ngasih rekomendasi inovatif tentang topik tertentu  Gw megang beberapa topik yang gw suka  urban planning incl ibukota negara  keperempuanan  lingkungan hidup incl climate change plastik energi terbarukan dll  pendidikan perdamaian  pendidikan karakter  pengarusutamaan Pancasila  kesehatan incl mental health   Kalau yang lain pegang apa  Detailnya bisa nanya ke mereka yak  Tapi kurang lebihnya gini  belvadevara digital delivery public services UMKM incl upskilling pelibatan anak muda di dalam kebijakan publik  amaruf27 pengembangan pesantren pengembangan kecamatan akses beasiswa dan penanganan radikalisme  Taufan ekonomi informal digitalisasi pedesaan inklusi keuangan pengentasan kemiskinan dan industri olahraga  angkieyudistia inklusi dan jubir Presiden bidang sosial  putri_tanjung industri kreatif pariwisata  billymambrasar pemberdayaan kewirausahaan anak muda pengembangan Indonesia Timur   SEBERAPA SERING PARA STAFSUS KETEMU  Sering banget   Seminggu bisa beberapa kali  Seringnya meeting kadang2 juga ketemu pas ada acara2 Presiden,https://www.instagram.com/p/B7A-0lchhCL,4336,83
