Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
17,7,1,2020,ayukartikadewi,The Stafsus Gank minus Billy yang masih di US   Tadi sore ada acara Pelantikan Hakim Konstitusi di Istana jadi mumpung lagi pake baju resmi jas dan kebayabatikkain tenun kami foto2 deh di taman Istana yang cakep itu  __   NGAPAIN AJA SIH STAFSUS INOVASI TU  Intinya kami ada 2 tugas utama 1 Jadi teman diskusi Bapakbos 2 Jadi jembatan ke anak2 muda  Nah untuk bisa jadi teman diskusi yang mumpuni dan substantif kami harus banyak menganalisis permasalahan belajar tentang ilmunya ngobrol dengan berbagai orang dan mensintesiskan rekomendasi yang inovatif   ADA TOPIK2 TERTENTU YANG DIHANDLE GAK  Ada  Kami bertujuh bagi2 topik berdasarkan issue yang kami concern dan punya pengalaman  Tapi topik yang kami kerjakan bisa lebih luas dari daftar ini karena kadang2 Presiden minta kami ngasih rekomendasi inovatif tentang topik tertentu  Gw megang beberapa topik yang gw suka  urban planning incl ibukota negara  keperempuanan  lingkungan hidup incl climate change plastik energi terbarukan dll  pendidikan perdamaian  pendidikan karakter  pengarusutamaan Pancasila  kesehatan incl mental health   Kalau yang lain pegang apa  Detailnya bisa nanya ke mereka yak  Tapi kurang lebihnya gini  belvadevara digital delivery public services UMKM incl upskilling pelibatan anak muda di dalam kebijakan publik  amaruf27 pengembangan pesantren pengembangan kecamatan akses beasiswa dan penanganan radikalisme  Taufan ekonomi informal digitalisasi pedesaan inklusi keuangan pengentasan kemiskinan dan industri olahraga  angkieyudistia inklusi dan jubir Presiden bidang sosial  putri_tanjung industri kreatif pariwisata  billymambrasar pemberdayaan kewirausahaan anak muda pengembangan Indonesia Timur   SEBERAPA SERING PARA STAFSUS KETEMU  Sering banget   Seminggu bisa beberapa kali  Seringnya meeting kadang2 juga ketemu pas ada acara2 Presiden,https://www.instagram.com/p/B7A-0lchhCL,4336,83
18,5,5,2020,ayukartikadewi,Tentang tujuan hidup dan tentang kebaikan yang tidak akan siasia  Repost indonesiabutuhanakmuda  Ayu Kartika Dewi anak muda pejuang toleransi dan pendidikan di Indonesia yang sarat dengan prestasi akademik maupun pengalaman bergerakdari rasa kepedulian yang tinggi Ayu berani meninggalkan zona nyaman di dunia korporat dan memilih untuk mengajar di sebuah sekolah dasar di Maluku Utara  Ayu juga mendirikan SabangMerauke sebuah program pertukaran pelajar antardaerah di Indonesia dengan fokus menanamkan nilai toleransi pendidikan dan keindonesiaan Rekam jejaknya yang mentereng ini membuatnya dipercaya menjadi Staf Khusus Presiden  Sesi dari ayukartikadewi  Pejuang Pemahaman ini dapat kamu saksikan di indonesiabutuhanakmudanarasitv,https://www.instagram.com/p/B_zcWSXBEwb,3837,109
19,6,10,2020,ayukartikadewi,nasihat apa aja yang sering kalian terima ,https://www.instagram.com/p/CGAFpG4sRNH,3204,69
16,21,5,2020,ayukartikadewi,Audit Pertemanan  Apa tu   Laporan keuangan diaudit  Barang juga kita audit dengan metode Marie Kondo atau goodbyethings  Masa temen gak kita audit  __  Dan apa hubungannya Audit Pertemanan dengan upaya agar gak takut gagal  Nonton deh petikan obrolan gw dengan abigailimuria cofoundernya lalitaproject  Sesi kami PAMER KEGAGALAN juga udah ada di YouTubenya perempuangagal yak   Yang udah melakukan atau akan melakukan Audit Pertemanan mana suaranyaaa ,https://www.instagram.com/p/CAcbxVJh7rl,3132,146
19,12,1,2020,ayukartikadewi,CANTOLAN MIMPI  Gw percaya bahwa kita harus diingatkan pada mimpi2 kita dan bahwa orang2 di sekitar kita akan secara sadar ataupun tidak akan membantu kita menuju mimpi kita  Semesta mendukung  Yang menakutkan adalah berani menceritakan mimpi itu  Karena kita bisa ditertawakan kalau mimpi kita terlalu tinggi Dan kita bisa dihina kalau ternyata kita gagal Kita jadi vulnerable  Jadi memang menceritakan mimpi itu menakutkan  Tapi tetap harus diceritakan  Karena kita bisa jadi akan dapat masukan dan yang paling menguatkan kita dapat bantuan  Yang tidak kalah menakutkan adalah berani memulai meraih mimpi itu  Tapi kan katanya kan mimpi tu harus menakutkan  Kalau gak menakutkan artinya mimpinya kurang besar  __   Tahun 2016 gw secara gak sengaja dapat lebihan undangan ikut Upacara 17 Agustus di Istana  Lalu gw iseng ngepost ngantor di sini kayaknya seru  bisa piknik   Tahun 2019 beneran kejadian tanpa gw upayakan secara sadar artinya gw gak pernah apply untuk jadi Stafsus __  Tahun 2010 gw pernah bikin sesi Pohon CIta2 buat anak2 SMA di Maluku Utara  Gw nulis kuliah di Amerika Swipe deh  Tahun 2013 setelah gagal daftar sekolah  beasiswa sekitar 10x akhirnya gw berangkat ke Amerika  Dulu ketika S1 gw pernah ikut pertukaran ke Singapore 5 bulan  Gw bertekad suatu hari akan kembali lagi ke sana  Gw menyimpan kartu MRT Singapore di dompet  Ternyata setelah lulus S1 gw diterima kerja di PG dan langsung diminta training di Singapore 2 bulan  Bbrp tahun kemudian gw dipindah kerja ke SIngapore 3 tahun di sana  Dan mungkin ada banyak hal2 lain yang gw sempat cita2kan sempat gw ucapkan gw upayakan dan akhirnya tercapai  Bahkan kadang2 ada hal2 yang gw udah lupa pernah ucapkan dan tercapai juga   Gw gak percaya magis  Postingan gw tempelan di pohon cita2 atau menyimpan kartu MRT gak akan memberikan kekuatan ajaib buat gw  Tapi hal2 itu akan menjadi cantolan mimpi kita  Mengingatkan kita bahwa ada cita2 yang kita gantungkan di sana  Dan menguatkan kita bahwa harapan itu mungkin jadi nyata  Kamu ada cerita2 tentang cantolan mimpi ini ,https://www.instagram.com/p/B7OEf3IhL53,3043,137
20,15,3,2020,ayukartikadewi,Dalam menghadapi Covid19 selalu ada 2 jenis orang yang panik dan yang meremehkan   Nah postingan ini adalah untuk mengajak kita menjadi yang logis  __  MAKANAN Yang panik  nyetok makanan untuk berbulan2 Yang meremehkan   tetap bikin acara ketemuan makan2 bareng Yang logis  sedia bahan makanan secukupnya untuk 23 hari ke depan karena akan dirumahaja sehingga gak repot tiap hari harus beli  MASKER Yang panik beli masker berkardus2  Yang meremehkan bodo amat virusnya takut ama gw Yang logis pakai masker jika sakit dan jika keluar rumah karena bisa jadi sudah terinfeksi tapi gak menunjukkan gejala supaya gak nularin orang Orang yang paling membutuhkan masker adalah dokterperawat yang berhadapan dengan pasien Kalau masker abis diborong mereka akan kena Covid  KEHIDUPAN SOSIAL Yang panik mengisolasi diri 100 gak ketemu siapapun makan dari bahan makanan yang udah distok Yang meremehkan tetap pergi2 ke luar rumah kantor sekolah kampus walaupun bisa dilakukan secara online tetap ke kafe Yang logis work from home Jika harus keluar rumah dan bertemu orang jaga jarak dan jangan salaman  STERILISASI Yang panik pake sarung tangan all the time  Yang meremehkan bodo amat gw kebal virus Yang logis cuci tangan sebelum makan dan setelah makan dan setelah sampai rumah Lap permukaan2 dengan desinfektan Encerkan Dettol cair atau Bayclin atau gunakan alkohol minimal 70 lalu lap hp laptop gagang pintu saklar lampu tombol mesin cucimicrowave keran air remote TV dan AC Lakukan 2x sehari  IBADAH Yang panik  Yang meremehkan bikin acara ngumpul2 untuk doa bersama mencegah Corona Yang logis ibadah di rumah  SOSIAL MEDIA Yang panik ngecek sosmed tiap saat dan jadi makin panik lalu nyebar hoax macem2 Yang meremehkan bodo amat gw gak perlu mengedukasi diri ini cuma flu biasa Yang logis cek website2 terpercaya dan baca tentang Covid19 bantu bikin konten edukasi di akun masing2 dan sebarkan konten edukasi dari akun2 terpercaya  ___  WE DO WHAT WE CAN DO,https://www.instagram.com/p/B9wYUrgBepX,2868,45
20,26,1,2020,ayukartikadewi,Pernah gak dimasukin ke sebuah wa grup tanpa sepengetahuan dan seizin kita  Atau tiba2 ada orang asing yang mengontak hp kita  Atau ada seseorang yang membocorkan hal2 personal yang kita diskusikan dengannya  Atau chat kita discreencapture dan disebarkan tanpa izin  ___  Kita sering abai menghormati privasi orang karena kadang2 kita menggunakan lensa kita dalam menebak preferensi dia ah kayaknya dia gak apa2 deh kalau dimasukin ke wa grup ini kan gw juga ada di dalamnya  Atau kita lupa bahwa privasi yang dipercayakan kepada kita adalah sebuah amanah  Kita memiliki akses pada hal2 yang pribadi ini karena orang tersebut percaya pada kita  ___  Jadi gimana  1 KALAU BUTUH KONTAK SESEORANG  _  Kak minta kontaknya xyz dong Kalau ada yang gini gw gak pernah kasih  Nomor pribadi dia adalah privasi dia  _  Yang biasanya gw lakukan adalah gw minta detail info kenapa elu membutuhkan kontak orang tersebut misal mau ngundang jadi narsum Kasih aja undangan dan TORnya dan akan gw forward ke orang tersebut  Kalau dia tertarik dia akan kontak elu  _  Minta izin dulu sebelum share kontak gw  Kadang2 gw akan minta orang untuk kontak admin emailnya ada di bio IG gw jika keperluannya adalah untuk mengundang   2 UNTUK MEMPERMUDAH KOORDINASI KETIKA EVENT  _  Kalau sedang menghubungi seseorang untuk jadi narsum biasanya gw sendiri yang akan menghubungi  Kalau sudah oke dan nanti LO akan butuh nomor narsum biasanya gw akan nanya lu prefer gw share nomor yang ini ke tim LO atau ada nomor lain yang bisa dikontak oleh tim gw  Kadang2 ada yang prefer ngeshare nomor manajernya   3 KETIKA MEMASUKKAN ORANG KE WA GRUP  _  Tanya lu prefer dimasukkan ke wa grup  Atau lu mau dikabari aja kalau nanti ada info penting   4 UNTUK MEMBAGI INFORMASI  _  Nanya deh info ini boleh gak gw share ke si Abc  _  Beberapa hari lalu gw diwawancara via whatsapp oleh Mas icanihsanuddin dari Kompascom  Setelah wawancaranya beres Mas Ican bertanya Mbak hasil wawancara ini boleh saya share gak ke wartawan istana lain Ntap  ___  Postingan ini terinspirasi dari obrolan dgn yosimokalu ,https://www.instagram.com/p/B7yLJ0zBR3e,2770,29
19,12,5,2020,ayukartikadewi,Saya adalah anak nerd yang mencintai tabel dan grafik  Bisa tebak gak kalau saya stres apa yang saya lakukan  Yep  Bikin STRESS MATRIX  __  Ketika kita sedang stres gampang banget untuk terjebak di dalamnya  Supaya gak ruwet di kepala coba deh delegasikan keruwetan ini kepada sehelai kertas  Ikuti langkah2 yang ada di slide2 berikut ini  Kalau stresnya udah dipetakan gini kita seharusnya lebih lega karena stres kita turun sampai cuma 25nya dengan asumsi tiap kuadran punya kadar stres yang sama  __  Ada yang mau coba bikin stressmatrix juga  Bikin di story trus tag saya ya ,https://www.instagram.com/p/CAFklH9BOBu,2593,70
18,8,7,2020,ayukartikadewi,Kalau memutuskan mau menikah dan memutuskan mau punya anak jangan lupa bikinnya bareng ngurusnya bareng  __  The most important career choice youll make is who you choose to marry  Sheryl Sandberg COO Facebook  Menikah tidak berarti kita mengubur mimpimimpi kita Gimana caranya Cari calon pasangan yang mendukung mimpi kita dan menguatkan citacita kita dong  __  Saya my sister kalismardiasih dan Kak gambarnana bikin komik nih tentang pembagian peran di rumah tangga  Baca yuk  ___  Buat yang sudah berumah tangga cerita dong gimana pembagian tugas di rumah kalian  __  Buat yang masih memilih2 calon pasangan hidup silakan komik ini dikirim ke gebetan Kalau dia tidak setuju dengan filosofi bikinnya bareng ngurusnya bareng barangkali dia bukan teman hidup yang tepat  __,https://www.instagram.com/p/CCYUD40MAmA,2589,60
11,4,4,2020,ayukartikadewi,Ini Mas syrfxvii ajudan Presiden  Beberapa hari lalu dia ngepost foto ini ketika dia sedang nyiapin meja kerja Presiden  Gw zoom in dan langsung mengenali dokumen yang sedang dia pegang  Itu dokumen yang gw dan tim bikin sampai jam 4 pagi  __  Oke sekarang gw mau tidur  __  A team who staysuplate together stays together   clarinandreny rachmatfathoni irfansarhindi bd_stellahie belvadevara ilmma27 michellearsjad adamnurilman,https://www.instagram.com/p/B-i6gskFtT1,2486,33
