Username,Bulan,Jumlah_Like,Rata_Like,Jumlah_Komen,Rata_Komen,Jumlah_Postingan
ayukartikadewi,1,34292,1558,711,32,22
ayukartikadewi,2,30725,1137,797,29,27
ayukartikadewi,3,23202,1221,718,37,19
ayukartikadewi,4,16967,998,548,32,17
ayukartikadewi,5,22561,1504,651,43,15
ayukartikadewi,6,14749,983,430,28,15
ayukartikadewi,7,13799,1061,338,26,13
ayukartikadewi,8,13816,727,411,21,19
ayukartikadewi,9,17021,810,580,27,21
ayukartikadewi,10,8915,891,272,27,10
ayukartikadewi,11,7373,1053,229,32,7
