Tanggal,Bulan,Caption,Postingan,Username,Komentar_Utama,Jumlah_Like,Komentar_Reply
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,nadinetjoa,Kak ayu selamat ulang tahun ,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,joanazettira,Mbak Ayu terimakasih banyak selalu menjadi inspirasi Selamat berulangtahun mbak Semoga keberkahan semesta selalu menyertai ,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,winiang,Happy birthday Ayu sehat selalu ,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,nurramlahs_,Happy birthday mbak Tetap menginspirasi ya,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,desmarleni,Sugeng tanggap warsa mbak ayu Terus menginspirasi dan memberikan nilai positif ,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,yanne.singal,Happy birthday mba Ayu Selamat bersyukur,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,afinrizqiyah_,Selamat ulang tahun kak Ayusemoga sehat selalu dan selalu menginspirasi banyak orang,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,puterautama,Selamat ulang tahun Kak Ayu ,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,2whitecoats_,Selamat bertambah usia mbak Semoga berkah dan bermanfaat hidupnya selaluuu,0,0
27,4,Hari ini saya berulang tahun ke37  Sejak kemarin saya berusaha mencari satu kata yang mewakili perasaan saya  Dan akhirnya ketemu cukup  Tahun ini Tidak ada traktiran Tidak ada kejutan Tidak ada ngumpul2 bersama teman  Tapi saya bersyukur sepenuh hati Ngobrol panjang melewati tengah malam dengan seorang sahabat tentang cerita masa lalu dan rencana masa depan Ada teman mengirimkan makanan Ponsel saya ramai dengan doa dan ucapan  Saya merasa cukup  Saya merasa tercukupkan  Semoga temanteman pun diberikan kekuatan dan ketercukupan peluk,https://www.instagram.com/p/B_e0-8DhDyt,dhia.mhr18,Happy birthday kak ayuuu,0,0
