Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
19,12,11,2020,billymambrasar,You will always be a Superhero for us Daddy Selamat Hari Raya papa Isaschar Mambrasar,https://www.instagram.com/p/CHfYPSyB5Gq,51,0
18,10,11,2020,billymambrasar,SELAMAT HARI PAHLAWAN Guys ,https://www.instagram.com/p/CHaJiY8hyMo,569,11
14,8,11,2020,billymambrasar,Repost jokowi       My warmest congratulations JoeBiden and KamalaHarris on your historic election The huge turn out is a reflection of the hope placed on democracy  Look forward to work closely with you in strengthening IndonesiaUS strategic partnership and pushing forward our cooperation on economy democracy and multilateralism for the benefit of our two people and beyond ,https://www.instagram.com/p/CHUnQoRhWpK,1285,10
6,8,11,2020,billymambrasar,Perjalanan Dinas Tim kami ke Sulawesi Tenggara Kendari Diskusi dengan Gubernur malam ini menghasilkan beberapa poin sbb 1 Diseminasi program2 Presiden khususnya yang berkaitan dengan Covid 19 UMKM dan Milenial 2 Mendengar paparan progres pembangunan Provinsi ini 3 Memaparkan Program papuainspiratif dan Manajemen Talenta Papua MTP bersama dengan kemendagri  4 Mendengar aspirasi dan kebutuhan dari Provinsi ini untuk disampaikan kepada Pemerintah Pusat  Terimakasih Gubernur Sultra _alimazi atas keramah tamahannya dan sambutan yang luar biasa  Saya memberikan apresiasi mendalam atas progress pembangunan yg sudah dan sedang berjalan,https://www.instagram.com/p/CHTujdgBeJC,1602,18
15,4,11,2020,billymambrasar,Topik Milenial Bisa Apa,https://www.instagram.com/p/CHKZWj-gHSN,214,4
16,30,10,2020,billymambrasar,,https://www.instagram.com/p/CG9pI21ANBj,369,22
5,29,10,2020,billymambrasar,Rapat kerja dengan Pak Menteri titokarnavian semalam melahirkan sebuah bentuk program pengelolaan sumber daya manusia Indonesia kedepannya  Pak Menteri ini kreatif idenya banyak akomodatif out of the box dan berani   Tinggal kita eksekusinya aja yah skrg guys  Semoga eksekusinya akan lancar jaya aminn  Sehatsehat terus yah pak,https://www.instagram.com/p/CG55d-4BNQf,1776,47
7,28,10,2020,billymambrasar,Satu Nusa Satu Bangsa Satu Bahasa Kita  Selamat Hari Sumpah pemuda yah guys Kita bisa menjadikan Indonesia negara yang maju adil sejahtera dan merata,https://www.instagram.com/p/CG3i2KFhh4P,1045,27
13,24,10,2020,billymambrasar,Yang Hadir di Acara UNDP Youth Colab Hari ini Ini dia yah challenge Give away Jilid 8 nya temans Langsung comment dibawah guys TAPI JANGAN LUPA DI FOLLOW DULU IGnya   10 orang dgn jawaban paling tepat dan komprehensif akan langsung menerima give away ini   Sukses utk peserta ideathonesia yah,https://www.instagram.com/p/CGt1z05hCPS,306,21
17,23,10,2020,billymambrasar,,https://www.instagram.com/p/CGrqyftAxkD,316,38
8,23,10,2020,billymambrasar,Saya kutip dari Tribunnews  Hari ini Kamis 22102020 diperingati sebagai Hari Santri Nasional 2020  Hari Santri Nasional dimaksudkan untuk mengingat dan meneladani semangat jihad para santri merebut serta mempertahankan kemerdekaan Indonesia yang digelorakan para ulama  Hari Santri Nasional ditetapkan lewat Keputusan Presiden Nomor 22 Tahun 2015 tentang penetapan 22 Oktober sebagai Hari Santri Nasional  Keppres tersebut ditandatangani Presiden Joko Widodo pada 15 Oktober  Tanggal 22 Oktober dipilih karena merujuk pada satu peristiwa bersejarah yakni seruan yang dibacakan oleh Pahlawan Nasional KH Hasjim Asyari pada 22 Oktober 1945  Seruan ini berisikan perintah kepada umat Islam untuk berperang jihad melawan tentara Sekutu yang ingin menjajah kembali wilayah Republik Indonesia pascaProklamasi Kemerdekaan  Perjuangan tersebut berakhir sebuah kemenangan mutlak  Sekali lagi terimakasih saya yang mendalam,https://www.instagram.com/p/CGqtcKiBN6y,752,12
12,12,10,2020,billymambrasar,Ini jawaban dr Pertanyaan Patrick Sawom dari Bali dalam acara ademsurvive hari ini  Buat adikadik yg telah memberikan pertanyaan2nya kam luar biasa Kalian adalah generasi muda Harapan bangsa Masa Depan,https://www.instagram.com/p/CGOzQRPh2sZ,1404,69
11,12,10,2020,billymambrasar,Pendidikan Wawasan Kebangsaan dan Bela Negara Melalui Kawah Kepemimpinan Pelajar Bagi Siswa Program Adem Papua Dan Papua Barat  Direktorat Pendidikan Masyarakat dan Pendidikan Khusus,https://www.instagram.com/p/CGOvb6pjXmO,420,74
19,11,10,2020,billymambrasar,,https://www.instagram.com/p/CGM92D-AfTO,382,26
