Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
10,7,6,2020,billymambrasar,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,2174,227
8,23,5,2020,billymambrasar,BERJUALAN DI PINGGIR JALAN Jadi jumat kemarin tgl 22 Mei 2020 tepat sudah bulan ke6 saya tdk bertemu orang tua saya termasuk Ibu Saya Lalu secara random saya bertemu dgn Ibu Wati salah satu warga di kecamatan Menteng Atas yg mengeluhkan biaya pendidikan anaknya Keluhnya nilai uang yg didapat dari berjualan kue tdk mencukupi kebutuhannya seharihari Mendengar keluhan tsb krn Juga keterbatasan uang yg saya miliki bantuan dana yg bs saya serahkan dr penghasilan yg saya miliki cukup sedikit Oleh sebab itu saya menawarkan diri utk membantu Ibu Wati berjualan EITSS saya tetap menjaga jarak aman dan menggunakan masker yah PUJI TUHAN ALHAMDULILAH kurang dari 2 jam dagangan Ibu Wati Ludes saya jual habis Ibu Wati cukup terkejut dengan skill berjualan saya lalu saya share ke Ibu Wati bahwa sejak kecil saya sudah terbiasa berjualan dengan mama saya di Pasar dan di Jalan Saya lalu menelpon mama saya melalui Video call dan memperkenalkan Mama dengan Ibu Wati dan ternyata mama juga sama sedang mempersiapkan barang jualannya jg heheheh Saya lalu memberikan sedikit rejeki saya jg utk memberikan beasiswa bagi anak Ibu wati yg sedang menempuh pendidikan saat ini dan membagi sembako ke Ibu2 lain teman2 warga dari Ibu Wati di tempat beliau tinggal Walaupun Ramadhan ini saya tdk bs pulang kampung tp sosok Ibu dan wanita pejuan seperti Ibu Wati ini telah membantu saya melepas kangen kepada Ibunda Tercinta Teman2 yg tahun ini ga bisa pulang dan menengok keluarga yuk kita bantu tetangga dan sesama di sekitar kita Selain beramal dan bentuk pengabdian kita kepada Sang Khalik itu juga merupakan pengobat rindu yg sangat mujarab Selamat Menjelang Hari Raya Idul Fitri yaaah dan selamat melanjutkan Ibadah Puasanya,https://www.instagram.com/p/CAgv4DrBW7G,2178,201
7,27,8,2020,billymambrasar,Temanteman ijinkan saya memperkenalkan makanan tradisional khas Papua juga Maluku Papeda dan Ikan Kuah Kuning dengan Umbiumbian sayuran dan beberapa hidangan pelengkap lainnya  Papeda terbuat dari sari tepung sagu yang kemudian diolah dengan air panas secara khusus dan akhirnya berbentuk seperti Jelly Makannya harus ditemani dengan ikan yang berkuah kuning panas Makanan ini sudah sangat common dikonsumsi oleh masyarakat di Tanah Papua dan Maluku  Papeda mengandung kadar gula yg rendah dan serat yang tinggi Akan tetapi Papeda memiliki energi yang cukup untuk membantu kita beraktifitas seharihari  Papeda juga mengandung antioksidan yg tinggi untuk menjaga kesehatan kulit dan antibodi untuk tubuh  Temanteman kalian Ada yang ingin mencobanya kah  atau mungkin temanteman sudah pernah mencobanya billymambrasar billysdiary diarybilly diarybillymambrasar papeda papua papuabarat maluku,https://www.instagram.com/p/CEX3DXwB-JH,1811,186
6,31,1,2020,billymambrasar,Setiap kunjungan kerja lengkap dgn interaksi yg akrab  diskusi tajam yg akrab dgn Presiden jokowi merupakan momen yg akan saya ingat seumur hidup saya  Urutan kegiatannya adalah sbb 1 Standby di Landasan Udara menunggu bapak tiba dan memasuki pesawat 2 Naik pesawat kenegaraan secara protocoller menyambut bapak di Red Carpet menaiki tangga pesawat 3 Masuk dan ikut duduk di pesawat  4 Tiba di tempat  turun dr pesawat  disambut Gubernur  walikota atau petinggi daerah setempat 5 Mengikuti rangkaian acara dan selalu mendampingi bapak selalu dan memberikan masukan atau input ketika ditanya suatu isu 6  Makan siang dan berdiskusi ttg topik2 kenegaraan lain serta mencari preliminary solution utk di kordinasikan dgn kementerian dan lembaga terkait 7 Shalat   Dan saat Bapak sedang solat saya bersama menteri2 lain yg non muslim menunggu sambil berbicara ttg potensi2 kerja sama yg mgkn dpt dikerjakan nanti utk menyelesaikan permasalahan publik 8 Melanjutkan kunjungan kerja kali ini lebih ringan dgn diikuti dgn interaksi lebih hangat dgn masyarakat 9 kembali ke pesawat kenegaraan dan take off kembali ke Jakarta  Ketika berinteraksi dgn masyarakat  maka kita harus selalu menggunakan empati yahh betul  Rasa Bicaralah dgn hatimu ketika kamu menyentuh masyarakat  dan itu apa yg saya pelajari dari bapak selama ini  Ketika bapak berinteraksi dgn masyarakat  kesungguhan tone beliau  tatapan matanya  sentuhan tangannya  menunjukkan keseriusan beliau mendengarkan lalu meminta ajudan  menteri bahkan saya sendiri  untuk memfollow up isu2 tertentu  Misalnya ketika berinteraksi dgn salah satu ibu2 UMKM  dengan mengangkat produknya  Pak Jokowi menoleh ke saya dan meminta Billy tolong kordinasikan dengan rekan SKP lain dan follow up dgn kementerian dan lembaga yah Saya jg jd semakin akrab dgn sahabat2 rekan Staf Khusus Presiden yg lain dalam tiap kunjungan kerja kami  dgn menteri2 serta pejabat daerah lain  Ketika saya belajar studi doktoral saya nanti lalu kembali dan memajukan usaha consulting serta bisnis saya yang lain  maka saya akan mengingat dan menjadikan pengalaman ini sebagai pelengkap bahan riset dan thesis saya  stafsus,https://www.instagram.com/p/B79owE7Btad,3214,148
19,29,6,2020,billymambrasar,Video ini berisi reaksi kaget bercampur senang dari Satu Keluarga di Papua yang anak lakilaki mereka berhasil lolos masuk untuk berkuliah di Universitas Harvard Amerika Serikat  Full Link Video ada disini  httpsyoutubeqBHxXEU3K44  Awalnya sang ayah mengira bahwa dia sedang di Prank ternyata setelah diberikan Password dan isi email dari Universitas Ternama Dunia tempat Bill Gates Mark Zuckerberg dan Barrack Obama kuliah tersebut dan mengecek bersama Ibu dan kedua adiknya ternyata benar sang anak lolos masuk ke Universitas Tersebut  Sang Ibu yang tidak memahami bahasa inggris sempat kebingungan dan bertanya apa maksud isi email tersebut Setelah dijelaskan oleh kedua adiknya barulah mengerti dan akhirnya ikut bersoraksorak gembira  Saat bersamaan sang anak yang sedang berada di Universitas Oxford Inggris Sang anak tengah menyelesaikan masternya di Universitas ini bersama dengan sahabt dekatnya juga sedang menunggu dengan degdegan hasil pengumuman test masuk atau tidak masuknya ke Universitas Impiannya sejak lama itu  Video reaksi ini diharapkan dapat menggugah inspirasi dari anakanak Indonesia lainnya agar dapat bermimpi besar mewujudkan citacitanya masuk ke perguruan tinggi ternama dunia untuk membanggakan keluarga serta mengharumkan nama Bangsa Indonesia,https://www.instagram.com/p/CCBLfAbhhmB,3515,139
13,16,1,2020,billymambrasar,Repost lalamarionmj with get_repost  lalamarionmj Says some people are getting busy over my skin they even named me africon jola well this Sumba girlyborn and raised in NTT is curious what are they going to say after this picture maybe  muscly africon jowla  well you guys got my attention  i love also i embrace slash im cooler than you  Billy Mambrasar responses  Kita harus selalu bangga akan identitas kita seperti Idola saya ini Marion Jolla Parampuan NTT dari Pulau Sumba kebanggaan Indonesia timur Lala bangga akan kulit hitamnya dia sama seperti saya sebagai lakilaki Papua bangga akan kulit hitam dan rambut keriting saya hampir dipastikan warna kulit ratarata orang Indonesia adalah Sawo Matang dan Coklat Gelap dan warna tersebut adalah indah Kenapa sih harus mendiskreditkan orangorang yang berwarna kulit gelap Kalau Warna kulit gelap tidak indah dan cantik kenapa Beyonce jadi Penyanyi Papan atas kelas Dunia Lalu Mbak anggun_cipta bisa dapat eurovision dan jadi artis eropa papan atas Kenapa Jenifer Hudson jadi super star Lalu andmeshkamaleng_  bisa sukses menjadi Penyanyi dengan album dan penjualan tinggi lakilaki NTT skinnyindonesian24id bisa sukses dan konten kreatif mereka Mommy mamauthe menjadi diva papan atas Indonesia dan glennfredly309 sukses menelurkan albumalbum yang menyentuh hati Kenapa Denzel Washington bisa dapat Oscar Saya memohon dengan kerendahan hati saya terkait Komentar pedas mbak lucintaluna  yang menyatakan bahwa warna kulit hitam itu jelek buluk dan busuk itu berpotensi menyakiti hati kita orangorang Indonesia timur yang sebagian besar berwarna kulit Gelap  Hey anakanak Indonesia ingatlah dan banggalah akan jati diri kita salah satunya warna kulit Gelap kita yang indah dan menawan ini Fokus kepada karya dan prestasi Bukan sensasi bukan banyaknya uang dan harta dan bukan keindahan fisik yang sementara ini saja Ciptakan dampak dan kerja keraslah untuk mencapai Prestasi  Saya Billy Mambrasar Sa anak Papua sa pu kulit hitam dan rambut keriting dan sa bangga menjadi diri sendiri Putra Nusantara Eksotis yang Cerdas,https://www.instagram.com/p/B7Xrlfuhx33,1801,132
17,21,7,2020,billymambrasar,Banyak teman teman yang protes karena setiap acara dan panitia meminta headshot saya tidak punya foto yang diambil dengan baik karena jujur memang saya tidak pernah mengakses foto studio Headshot yg biasa dipakai adalah foto2 mendadak dan diambil dari hape Ada satu panitia acara yang saya hadiri yg menyarankan kak Billy menurut saya kakak harus foto secara profesional deh kak Dan saya menerima masukan dari adik tersebut dengan penuh kerendahan hati  Hari ini setelah dipaksa oleh asisten dan tim saya saya memberanikan diri mengambil foto dgn fotografer profesional Semoga foto ini bisa membantu apabila nanti ada panitia yang memintanya dan wajah saya tidak ala kadarnya lagi seperti foto2 sebelumnya Mohon ijin yaaah teman teman 123 jekrek,https://www.instagram.com/p/CC5oWO5BaQ1,1583,126
12,11,1,2020,billymambrasar,One on One dgn Mas mastercorbuzier Gilaaa nih orang pinterrr abiesss  Bukan hanya sekedar seorang entertainer  he is someone with brain  4 jam posted dan 24 K Views already  Padahal menurut saya topiknya terlalu berat sih hehehe  Ternyata banyak yg tertarik utk mendengar jg  Bisa lihat full Interviewnya di BIO IG SAYA Jangan lupa di klik yah Happy Weekend and Happy Sabbath  selamat berlibur dengan keluarga yah  deddycorbuzier hitamputih deddycorbuizerpodcast podcastduweekend billymambrasar stafsus stafsusjokowi stafsusmilenial stafsuspresiden penistaanagama,https://www.instagram.com/p/B7KrwDShkBH,2155,113
13,25,9,2020,billymambrasar,Menjalankan tugas saya harus travel ke beberapa tempat selama 2 minggu kedepan tentunya dengan mengikuti secara KETAT Protokol KESEHATAN  Pagi ini saya mendarat di Provinsi Pertama dalam rangkaian kunjunan kerja berama Tim kerja saya Saya sangat Salut untuk Pemerintah Daerah salah satu Provinsi di Indonesia ini yg mendorong seluruh penumpang untuk harus di test Swab saat mendarat di Bandara  Selain itu SWABnya juga diberikan gratis Setelah ketahuan hasilnya maka kita akan diberikan Inisiatif baik seperti ini merupakan sebuah pioneer langkah yang patut kita apresiasi dengan baik Juga dapat dicontoh di berbagai daerah lain di Indonesia  Temanteman bisakah menebak saya sedang di Provinsi apa Dan teman2 dari Provinsi kece ini atau memiliki darah dari sini bisakah mengacungkan jempol dan mengisi kolom komentar dibawah ini  Buat semua yg udh buat appointment see u soon lawancovid19 demiindonesiamaju,https://www.instagram.com/p/CFjKL4BB2VL,1386,111
20,6,8,2020,billymambrasar,Guys hari ini saya berdiskusi tentang Pembangunan Papua bersama Oktorialdi Staf Ahli Bidang Pemerataan dan Kewilayahan Kementerian Bappenas Pak Velix Wanggai dan Juga Pak Doddy Chandra juga dari Bappenas   Dalam diskusi ini kami bertukar pikiran terkait approach pembangunan berbasis masyarakat dan bagaimana mendorong peran Anak Muda Papua dapat terlibat lebih lagi dalam membangun bukan hanya Papua tetapi juga seluruh Indonesia   Konsep kami sama yaitu Pembangunan Berbasis Masyarakat yang lebih membuka ruang untuk masyarakat agar dapat terlibat dalam proses pembangunan sehingga pembangunan dapat mengacu dengan kebutuhan dengan memanfaatkan potensi yang ada demi perbaikan kualitas hidup masyarakat   Diskusi ini juga menyasar masukan terbaik untuk pemerintah pusat menyusun strategi berikutnya lagi dalam Membangun Indonesia khususnya Papua termasuk sinergi Bappenas dengan Kementerian dan Lembaga lainnya Hasilnya adalah sebuah plan yg akan kami eksekusi langsung  Menurut temanteman tolong tulis di komentar di bawah ini yah apa masukan untuk Pemerintah agar dapat melibatkan lebih banyak lagi Pemuda dan Pemudi Indonesia ikut membangun negara   Bagi yang paling bagus komentarnya aku kasih Giveaway Buku dan Polpen dari tempat aku kerja yaahh Mohon masukkanya guys  papua papuabarat bappenas bappenasri,https://www.instagram.com/p/CDjNHRxBEVq,917,99
