Tanggal,Bulan,Caption,Postingan,Username,Komentar_Utama,Jumlah_Like,Komentar_Reply
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,tin_mentin,Terharu kak Indonesian proud of you kak I want to be like you kak God bless you kak,0,1
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,gracengangi,Gak perlu sedih dengan tidak wisuda yang perlu diseduhkan ketika lulus kuliah belum bisa berkarya salut dengan cerita om Billy May God bless you always,0,1
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,leoderikpapuara,Sukses selalu Kk billymambrasar  Tuhan memberkati perjuangan Kk untuk Indonesia ,0,1
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,yohanis_ondy,Tarima kasih Bang billymambrasar,1,2
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,gloy_loly86,Sukses sll kakz ,1,1
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,dedy.2016,Sukses selalu ,1,1
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,igopentury,Ale batu billymambrasar,1,4
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,tikadamiri,billymambrasar sukses selalu  Gbu,0,2
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,barakhaiwana,Aduh kaka ko terbaik sekali  ,2,1
7,6,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,rulandtoisuta,Selamat ya Sukses Tuhan berkati,1,2
