Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
10,7,11,2020,putri_tanjung,ngobrolsoresemaunya episode solehsolihun sudah tayang di YouTube CXO Media Banyak ngobrolin tentang masa kuliah solehsolihun karena gue punya sumber terpercaya ojido ,https://www.instagram.com/p/CHRluI7rOH1,12500,55
14,4,11,2020,putri_tanjung,Happiest Birthday Ibu  anita_chairultanjung  I love you so much May your bday and everyday be filled with love joy happiness and laughter,https://www.instagram.com/p/CHKQbqILeNl,64224,280
9,30,10,2020,putri_tanjung,Sedikit keseruan pengumuman 10 besar pahlawandigitalumkm ,https://www.instagram.com/p/CG82nwBAJqM,1844,18
9,30,10,2020,putri_tanjung,Alhamdulillah program pahlawandigitalumkm 2020 sudah selesai dijalankan setelah 3 bulan Waktu awal membuat Pahlawan Digital UMKM ga nyangka akan ada ratusan yang daftar dan 80 dari luar Jakarta Banyak sekali inovator2 muda hebat yang menciptakan solusi digital untuk banyak sekali permasalahan UMKM Dengan jalannya program ini saya kembali diingatkan seberapa hebat anak2 muda Indonesia jadi semakin semangat dan terus ingin berbuat kebaikan bersama Selamat untuk semua teman2 pahlawandigitalumkm yang membanggakan  selamat untuk 10 besar yang mendapatkan kesempatan untuk menjadi partner strategic kemenkopukm dan selamat untuk 3 besar credibook chatbizid krealogi  Acara ini tidak akan berjalan tanpa kolaborasi dengan kemenkopukm terimakasih Pak tetenmasduki_ sudah memberikan kepercayaan dan dukungan yang luar biasa Terimakasih Pak pramonoanungw untuk dorongan dan dukungannya Terimakasih shopee_id dan grabid untuk kolaborasinya Terakhir terimakasih untuk partner saya di program ini fikisatari dan my amazing team nuzuliaindah budiadiputro ucok_hasiholan yang mewujudkan program ini,https://www.instagram.com/p/CG809J_LOaZ,17825,89
15,25,10,2020,putri_tanjung,ngobrolsoresemaunya adalah salah satu project sampingan yang menuntut gue untuk keluar dari zona nyaman Pengalaman yang baru membawakan acara susah ternyata Masih perlu banyak belajar Tapi senang banget mendengarkan cerita dan pandangan berbeda dari setiap narasumber yang datang Yang penasaran bisa check Youtube CXO Media dan Spotify Ngobrol Sore Semaunya,https://www.instagram.com/p/CGwpUAkLQrX,26932,167
9,23,10,2020,putri_tanjung,Udah lama ga post selfieHappy Friday Everyone,https://www.instagram.com/p/CGqy5TBrgx6,77591,582
13,17,10,2020,putri_tanjung,Setelah sudah samasama test SWAB dan Alhamdulillah hasilnya negative akhirnya bisa ngobrol bareng claurakiehl di ngobrolsoresemaunya Seru banget pembicaraannya  super inspiring gasabar untuk share obrolan kita soon dan juga hopefully our upcoming collaboration Thankyou once again Cinta for coming to NSS,https://www.instagram.com/p/CGb2JlmnPzw,50323,505
19,12,10,2020,putri_tanjung,Honored to be part of GenT Asia list 2020  400 Young Leaders Shaping Asias Future,https://www.instagram.com/p/CGPmCqdniq3,12091,87
16,12,10,2020,putri_tanjung,Hai Teman teman Yuk ceritakan keinginan dan mimpi kamu dan dapatkan gadget keren Caranya gampang banget ikuti langkah dibawah ini  1 Wajib langganan layanan SMS Exclusive Putri Tanjung di 500484 Periode program 28 Agustus  28 Desember 2020  2 Mengikuti penjurian dengan cara upload foto gaya sekreatif mungkin dengan caption keinginan dan mimpi kamu kemudian share ke Instagram feed kamu Tambahkan di kolom caption Ikuti layanan SMS konten layanan Putri Tanjung hubungi 500484 pengguna Telkomsel  3 Jangan lupa gunakan hashtag NGEHIPBARENGPUTRITANJUNG tag ke hip500 funwap_co telkomsel dan putri_tanjung lalu mention ke 5 orang teman kamu dan dapatkan minimal 10 likes  4 Follow Instagram hip500 funwap_co putri_tanjung  5 Postingan tidak boleh dihapus sampai hadiah diterima oleh pemenang  7 Pemenang utama tidak diperbolehkan menjadi pemenang utama kembali di program berhadiah lainnya di tahun yang sama  8 1 satu ID pemenang KTPSIMPassport berlaku untuk 1 satu akun Instagram Jika dari hasil verifikasi data didapatkan 1 satu ID mempunyai lebih dari 1 satu akun instagram Penyelenggara berhak membatalkan pemenang tersebut meskipun sudah umumkan di IG live  Feed Instagram  9 2 pemenang utama akan mendapatkan Ipad Pro 2 pemenang hiburan akan mendapatkan Thinkbook Lenovo dan 5 pemenang hiburan lain mendapatkan saldo LinkAja masingmasing Rp3000000  10 Penjurian akan diadakan tanggal 12 Januari 2021 disiarkan live di IG  funwap co dan pemenang dipilih berdasarkan peserta yang memenuhi syarat  ketentuan yang ada dan akan dipilih langsung oleh Putri Tanjung bersifat mutlak dan tidak bisa diganggu gugat   Yuk ikutan,https://www.instagram.com/p/CGPPJgVn8xe,9184,84
19,8,10,2020,putri_tanjung,Di episode kali ini gue dan isyanasarasvati ngobrol tentang bagaimana proses berkarya  pendewasaan Isyana dalam bermusik mimpinya yang besar untuk membangun musik berkualitas di Indonesia Hingga pesan untuk generasi muda yang bermimpi menjadi musisi   ngobrolsoresemaunya episode ini berkolaborasi dengan Citilink Citilink akan mendonasikan 25 Juta Rupiah untuk membantu Program Penanganan Covid19  Untuk episode seru selanjutnya akan ada setiap Kamis jam 1800 WIB hanya di CXO Media,https://www.instagram.com/p/CGFSYqBn3a2,15283,109
