Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
22,10,4,2020,putri_tanjung,Dua tahun lalu di acara ulang tahun Ibu yang ke 50 Kangen juga dandan pake kebaya gini,https://www.instagram.com/p/B-zhaGNnHtD,105814,823
12,18,6,2020,putri_tanjung,Happiest birthday bapak ,https://www.instagram.com/p/CBkH0OLH5-R,109829,585
9,23,10,2020,putri_tanjung,Udah lama ga post selfieHappy Friday Everyone,https://www.instagram.com/p/CGqy5TBrgx6,77591,582
17,11,5,2020,putri_tanjung,Di saat kita sedang menjalani work from home seperti ini tidak berarti mengurangi deadline yang harus gue selesaikan Dengan kondisi saat ini yang tentunya berbeda gue harus membuat bekerja di rumah sama produktifnya dengan bekerja di kantor supaya tetap dapat menjalani aktifitas kerja dan bisnis seperti biasa  Cara  cara yang gue lakukan adalah memastikan sambungan internet stabil semua aplikasi pendukung dan teknologi berfungsi dengan baik serta menjadwalkan waktu video conference dengan tim dan client secara rutin Namun yang terpenting gue menggunakan perangkat yang menjamin kebutuhan esensial kerja  Lenovo ThinkBook lenovoid dengan Windows 10 builtin security system daya tahan baterai tinggi hot keys or instant calls dan tampilan yang modern di desain untuk memenuhi kebutuhan komunikasi dan kolaborasi kerja gue dan tim Kalau lo sendiri tips work from home nya apa LenovoID ThinkBookID BuiltforBusinessDesignedforYou,https://www.instagram.com/p/CAC3cVyHKVW,65511,558
9,28,2,2020,putri_tanjung,Pose leher pegel  Have a fruitful Friday everyone  Foto ini diambil oleh kawan saya paskalispigai,https://www.instagram.com/p/B9GA56SHhY8,82394,554
11,24,3,2020,putri_tanjung,Di saat darurat seperti ini para dokter suster  petugas kesehatan menjadi garda terdepan yang melindungi Indonesia Sebagai apresiasi dan terima kasih bagi mereka yang bekerja keras menolong banyak orang ingin menguatkan mereka dengan memberikan 2000 makan siang bergizi selama beberapa hari kedepan di RSPI Sulianti Saroso dan RS Persahabatan yang menjadi RS rujukan wabah Covid19  Makan siang enak dan bergizi ini dipersispkan dan diantar komunitas_foodtruck_jakarta Kita harus tetap mendukung UMKM di masa seperti ini Gue mengajak kalian juga untuk berkontribusi Kita kuatkan dokter suster  seluruh petugas di Rumah Sakit karena dedikasi mereka yang bikin kita jadi BangsaKuat Ibarat semut yang ingin memindahkan seekor gajah kita bisa jadi salah satu semut kecil yang menggerakan itu Yuk kita berkontribusi menjadikan gerakan ini sebagai gerakan kita semua  Bersatu dan berkolaborasi untuk BangsaKuat  Caranya berkontribusi Di instagram post gue berikutnya yah,https://www.instagram.com/p/B-GnoUlnKcS,43657,540
13,23,8,2020,putri_tanjung,Udah lama juga ga post selfie Happy Sunday everyone stay safe and healthy ,https://www.instagram.com/p/CEOKDz9HHIE,84711,509
13,17,10,2020,putri_tanjung,Setelah sudah samasama test SWAB dan Alhamdulillah hasilnya negative akhirnya bisa ngobrol bareng claurakiehl di ngobrolsoresemaunya Seru banget pembicaraannya  super inspiring gasabar untuk share obrolan kita soon dan juga hopefully our upcoming collaboration Thankyou once again Cinta for coming to NSS,https://www.instagram.com/p/CGb2JlmnPzw,50323,505
16,21,4,2020,putri_tanjung,Gue selalu percaya wanita memiliki peran penting untuk perubahan yang lebih baik dengan terus berkarya tanpa batas Tuntutannya untuk menjadi sempurna dengan segala tanggung jawab yang dimiliki membuat wanita memiliki sentuhan yang istimewa Menurut gue wanita itu hebat dalam segala hal Wanita bisa jadi sosok yang hebat dalam keluarga pekerjaan bisnis dan leader dalam satu waktu tanpa harus memilih dan mengorbankan salah satu peran Percaya pada kemampuan diri dan terus memaksimalkan potensi yang dimiliki akan membuat kita sebagai wanita dapat menjadi apapun yang kita impikan Untuk gue pribadi sebagai entrepreneur walaupun sering disandingkan dengan dominasi lakilaki di industri gue selalu percaya bahwa kita wanita memiliki kemampuan dan kreatifitas yang sama untuk terus berkarya Tidak mudah dan pastinya ada rasa takut tapi semua itu jangan membuat kita berhenti untuk selalu berperan dan memberikan manfaat Dan semoga dengan saling percaya dan mendukung satu sama lain wanita Indonesia akan mampu memberikan lebih banyak lagi perubahan baik dan dapat meraih semua citacitanya apapun itu Selamat Hari Kartini untuk seluruh wanita hebat di Indonesia ,https://www.instagram.com/p/B_POlJyHzQd,70853,453
13,29,9,2020,putri_tanjung,Afternoon thoughts Bersyukur diberi tanggung jawab  opportunity besar yang membuat gue harus bekerja lebih keras lebih pintar dan lebih cepat sebagai bentuk rasa syukur terhadap berkah dan tanggung jawab yang gue miliki Semangat teman teman untuk terus berbuat baik dan menjalankan tanggung jawab Jaga kesehatan  tetap positif dalam setiap situasi ,https://www.instagram.com/p/CFtbXjgHsK-,65891,412
