Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
12,18,6,2020,putri_tanjung,Happiest birthday bapak ,https://www.instagram.com/p/CBkH0OLH5-R,109829,585
22,10,4,2020,putri_tanjung,Dua tahun lalu di acara ulang tahun Ibu yang ke 50 Kangen juga dandan pake kebaya gini,https://www.instagram.com/p/B-zhaGNnHtD,105814,823
9,24,5,2020,putri_tanjung,Lebaran tahun lalu lebaran tahun ini dirumah aja Lebaran kali ini harus berdamai dengan jarak Stay home stay safe and stay healthy,https://www.instagram.com/p/CAjdJMEHspn,90036,288
13,23,8,2020,putri_tanjung,Udah lama juga ga post selfie Happy Sunday everyone stay safe and healthy ,https://www.instagram.com/p/CEOKDz9HHIE,84711,509
9,28,2,2020,putri_tanjung,Pose leher pegel  Have a fruitful Friday everyone  Foto ini diambil oleh kawan saya paskalispigai,https://www.instagram.com/p/B9GA56SHhY8,82394,554
13,23,4,2020,putri_tanjung,Bersyukur masih diberi kesempatan untuk bertemu lagi dengan bulan Ramadhan Bulan dimana kita diberi waktu untuk lebih dekat denganNya Bulan dimana kita diberi ruang untuk memperbaiki diri menjadi lebih baik  Untuk setiap kesalahan dan kekurangan yang pastinya tak luput dalam keseharian mohon dibukakan pintu maaf lahir  batin  Semoga dibulan penuh berkah ini semua lekas kembali baikbaik saja dan walaupun di ramadhan tahun ini kita harus berdamai dengan jarak untuk terus berada dirumah tapi semoga ibadah kita semakin berkualitas dan semua dapat dilalui dengan ikhlas Selamat menunaikan ibadah puasa Ramadhan,https://www.instagram.com/p/B_UECXVHOjz,78846,284
9,23,10,2020,putri_tanjung,Udah lama ga post selfieHappy Friday Everyone,https://www.instagram.com/p/CGqy5TBrgx6,77591,582
1,9,1,2020,putri_tanjung,Happy birthday love  this year can we buy Mazarine  Bluestone Lane coffee more often please,https://www.instagram.com/p/B7EYEiLnxJq,71146,151
16,21,4,2020,putri_tanjung,Gue selalu percaya wanita memiliki peran penting untuk perubahan yang lebih baik dengan terus berkarya tanpa batas Tuntutannya untuk menjadi sempurna dengan segala tanggung jawab yang dimiliki membuat wanita memiliki sentuhan yang istimewa Menurut gue wanita itu hebat dalam segala hal Wanita bisa jadi sosok yang hebat dalam keluarga pekerjaan bisnis dan leader dalam satu waktu tanpa harus memilih dan mengorbankan salah satu peran Percaya pada kemampuan diri dan terus memaksimalkan potensi yang dimiliki akan membuat kita sebagai wanita dapat menjadi apapun yang kita impikan Untuk gue pribadi sebagai entrepreneur walaupun sering disandingkan dengan dominasi lakilaki di industri gue selalu percaya bahwa kita wanita memiliki kemampuan dan kreatifitas yang sama untuk terus berkarya Tidak mudah dan pastinya ada rasa takut tapi semua itu jangan membuat kita berhenti untuk selalu berperan dan memberikan manfaat Dan semoga dengan saling percaya dan mendukung satu sama lain wanita Indonesia akan mampu memberikan lebih banyak lagi perubahan baik dan dapat meraih semua citacitanya apapun itu Selamat Hari Kartini untuk seluruh wanita hebat di Indonesia ,https://www.instagram.com/p/B_POlJyHzQd,70853,453
13,24,1,2020,putri_tanjung,Thank you for keeping me sane ,https://www.instagram.com/p/B7sSjt5ncbI,70804,203
11,2,5,2020,putri_tanjung,Throwback to when I got bored waiting for the laundry in SF ,https://www.instagram.com/p/B_q9yOznxxF,67964,232
13,29,9,2020,putri_tanjung,Afternoon thoughts Bersyukur diberi tanggung jawab  opportunity besar yang membuat gue harus bekerja lebih keras lebih pintar dan lebih cepat sebagai bentuk rasa syukur terhadap berkah dan tanggung jawab yang gue miliki Semangat teman teman untuk terus berbuat baik dan menjalankan tanggung jawab Jaga kesehatan  tetap positif dalam setiap situasi ,https://www.instagram.com/p/CFtbXjgHsK-,65891,412
17,11,5,2020,putri_tanjung,Di saat kita sedang menjalani work from home seperti ini tidak berarti mengurangi deadline yang harus gue selesaikan Dengan kondisi saat ini yang tentunya berbeda gue harus membuat bekerja di rumah sama produktifnya dengan bekerja di kantor supaya tetap dapat menjalani aktifitas kerja dan bisnis seperti biasa  Cara  cara yang gue lakukan adalah memastikan sambungan internet stabil semua aplikasi pendukung dan teknologi berfungsi dengan baik serta menjadwalkan waktu video conference dengan tim dan client secara rutin Namun yang terpenting gue menggunakan perangkat yang menjamin kebutuhan esensial kerja  Lenovo ThinkBook lenovoid dengan Windows 10 builtin security system daya tahan baterai tinggi hot keys or instant calls dan tampilan yang modern di desain untuk memenuhi kebutuhan komunikasi dan kolaborasi kerja gue dan tim Kalau lo sendiri tips work from home nya apa LenovoID ThinkBookID BuiltforBusinessDesignedforYou,https://www.instagram.com/p/CAC3cVyHKVW,65511,558
14,4,11,2020,putri_tanjung,Happiest Birthday Ibu  anita_chairultanjung  I love you so much May your bday and everyday be filled with love joy happiness and laughter,https://www.instagram.com/p/CHKQbqILeNl,64224,280
14,29,2,2020,putri_tanjung,Seharihari Meeting sambil makan biar mood selalu bagus ,https://www.instagram.com/p/B9JHF59Hb6X,61160,312
