Username,Bulan,Jumlah_Like,Rata_Like,Jumlah_Komen,Rata_Komen,Jumlah_Postingan
putri_tanjung,1,270276,45046,912,152,6
putri_tanjung,2,208063,52015,1165,291,4
putri_tanjung,3,129757,32439,1106,276,4
putri_tanjung,4,255513,85171,1560,520,3
putri_tanjung,5,281578,40225,1274,182,7
putri_tanjung,6,117310,39103,669,223,3
putri_tanjung,7,176040,22005,618,77,8
putri_tanjung,8,190468,19046,1249,124,10
putri_tanjung,9,148989,21284,921,131,7
putri_tanjung,10,297561,29756,1943,194,10
putri_tanjung,11,76724,38362,335,167,2
