Username,Bulan,Jumlah_Like,Rata_Like,Jumlah_Komen,Rata_Komen,Jumlah_Postingan
aminuddin.maruf,1,39708,1103,393,10,36
aminuddin.maruf,2,31210,1200,295,11,26
aminuddin.maruf,3,13508,710,163,8,19
aminuddin.maruf,4,9820,755,258,19,13
aminuddin.maruf,5,21534,769,307,10,28
aminuddin.maruf,6,6474,809,56,7,8
aminuddin.maruf,7,8261,688,99,8,12
aminuddin.maruf,8,4520,645,51,7,7
aminuddin.maruf,9,620,310,5,2,2
aminuddin.maruf,10,12248,1020,305,25,12
aminuddin.maruf,11,3610,722,107,21,5
angkie.yudistia,1,139012,3390,1540,37,41
angkie.yudistia,2,99714,2432,1435,35,41
angkie.yudistia,3,123259,1867,2809,42,66
angkie.yudistia,4,80519,2300,273,7,35
angkie.yudistia,5,89092,1536,308,5,58
angkie.yudistia,6,72088,1533,709,15,47
angkie.yudistia,7,43016,1303,103,3,33
angkie.yudistia,8,36820,1187,140,4,31
angkie.yudistia,9,42530,1149,231,6,37
angkie.yudistia,10,32643,1255,378,14,26
angkie.yudistia,11,26253,750,251,7,35
ayukartikadewi,1,34292,1558,711,32,22
ayukartikadewi,2,30725,1137,797,29,27
ayukartikadewi,3,23202,1221,718,37,19
ayukartikadewi,4,16967,998,548,32,17
ayukartikadewi,5,22561,1504,651,43,15
ayukartikadewi,6,14749,983,430,28,15
ayukartikadewi,7,13799,1061,338,26,13
ayukartikadewi,8,13816,727,411,21,19
ayukartikadewi,9,17021,810,580,27,21
ayukartikadewi,10,8915,891,272,27,10
ayukartikadewi,11,7373,1053,229,32,7
billymambrasar,1,18282,1406,750,57,13
billymambrasar,2,8427,702,182,15,12
billymambrasar,3,8788,798,339,30,11
billymambrasar,4,5185,1296,245,61,4
billymambrasar,5,10581,1058,640,64,10
billymambrasar,6,11642,1455,679,84,8
billymambrasar,7,14007,933,655,43,15
billymambrasar,8,13387,956,824,58,14
billymambrasar,9,10054,628,635,39,16
billymambrasar,10,8656,618,485,34,14
billymambrasar,11,3721,744,43,8,5
putri_tanjung,1,270276,45046,912,152,6
putri_tanjung,2,208063,52015,1165,291,4
putri_tanjung,3,129757,32439,1106,276,4
putri_tanjung,4,255513,85171,1560,520,3
putri_tanjung,5,281578,40225,1274,182,7
putri_tanjung,6,117310,39103,669,223,3
putri_tanjung,7,176040,22005,618,77,8
putri_tanjung,8,190468,19046,1249,124,10
putri_tanjung,9,148989,21284,921,131,7
putri_tanjung,10,297561,29756,1943,194,10
putri_tanjung,11,76724,38362,335,167,2
